"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q39","Q86","Q46","Q129_1","Q129_2","Q129_3","Q129_4","NP_H_1","NP_C_2","Q40","Q41","Q71","Q47","Q48","Q243_1","Q243_2","Q243_3","Q243_4","Q244","Q245","Q246","Q247","Q249","Q56","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","Q38","Q42","Q44","Q46.0","Q48.0","Q50","Q41.0","Q2","Q3","Q4","Q79","Q6","Q50.0","DO_BR_FL_6yTYxOmURd7ewO9","DO_BL_simulation","DO_BL_priming","DO_BL_Choices","LocationLatitude","LocationLongitude","LocationAccuracy","hot_cold","condition","A4rev","A6rev","A10rev","choices"
"R_3k7Ijks1sKpL0rY","Default Response Set","Anonymous","","","75.133.243.227","0",2017-08-24 12:18:34,2017-08-24 12:21:24,1,"874605",1,1,1,0,0,30.453,0,NA,1,NA,NA,"I feel alone and calm. I am completely at peace and am enjoying the silence.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,3,9,1,7,7,9,8,8,9,1,4,7,1,1,9,9,1,1,35,63,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|2|6|3|8|1|5|4|9|7|10","43.379196166992","-84.667098999023","-1",1,1,9,3,1,6
"R_sHlRs8E0Hqtr8Qx","Default Response Set","Anonymous","","","142.197.238.131","0",2017-08-24 12:15:28,2017-08-24 12:21:32,1,"839800",1,1,1,2.56,12.35,30.511,2,1,NA,NA,NA,"It's very hot. There's nothing but sand, scorched ground, tumbleweed, and a hot blazing sun . It;s also very dry. I'm very uncomfortable in this scenario.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,6,4,5,7,5,7,3,7,3,1,5,3,2,1,9,8,1,1,74,78,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|3|7|6|9|2|10|5|8|4|1","28.405807495117","-80.604797363281","-1",2,1,5,5,7,4.8
"R_2fGNb99CV4jpTjo","Default Response Set","Anonymous","","","72.228.42.128","0",2017-08-24 12:12:53,2017-08-24 12:21:39,1,"786686",1,1,1,3.312,3.312,30.728,1,1,NA,NA,NA,"I think that it would be extremely difficult to live in the environment in the photo. I imagine that resources would be extremely scarce. I think that everyone would fight over having enough food and water to survive. I think it would be an every man out or himself kind of attitude. I would have a hard time trusting anyone in such an environment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,1,9,5,9,9,1,1,9,1,9,7,3,6,4,9,1,2,25,74,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|4|2|7|3|6|1|9|5|10|8","43.005599975586","-73.862800598145","-1",2,1,1,1,1,1
"R_2WTphDLSbvjHxri","Default Response Set","Anonymous","","","173.20.13.245","0",2017-08-24 12:15:07,2017-08-24 12:21:55,1,"787640",1,1,1,0,0,30.463,0,1,NA,NA,NA,"The desert, a place a swore I'd never return. But here I am back again, and is it ever dry out here.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,5,9,1,5,5,9,9,5,1,1,5,1,1,1,9,9,1,1,36,77,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|9|7|10|3|4|2|8|6|5|1","37.170196533203","-93.329696655273","-1",2,1,9,5,9,8.2
"R_vrCrLDphfLI95mh","Default Response Set","Anonymous","","","96.253.7.55","0",2017-08-24 12:14:04,2017-08-24 12:22:13,1,"967428",1,1,1,3.917,5.738,31.131,2,NA,NA,1,NA,"It would be very hot and uncomfortable.  I would be wanting to get away from the as soon as possible.  I would be totally unhappy being there.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,7,3,7,1,9,1,9,9,1,1,1,7,1,4,7,5,9,1,2,34,70,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|7|9|10|8|2|6|4|5|1|3","41.678298950195","-71.270797729492","-1",2,1,9,9,9,8.6
"R_zYFMEKu536wYaPL","Default Response Set","Anonymous","","","104.3.176.117","0",2017-08-24 12:18:33,2017-08-24 12:22:14,1,"921949",1,1,1,0,0,30.666,0,NA,NA,1,NA,"It would be easy because I would be dead. It is too hot in there to be in that environment for any amount of time.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,9,1,9,1,9,9,1,5,1,1,5,5,8,2,8,9,1,1,25,78,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|6|7|3|10|4|5|9|2|1|8","30.370300292969","-81.587196350098","-1",2,1,1,1,9,2.6
"R_2zZlb8prC673g2V","Default Response Set","Anonymous","","","72.198.74.135","0",2017-08-24 12:19:39,2017-08-24 12:22:29,1,"877835",1,1,1,0,0,30.581,0,NA,NA,NA,1,"Cold but beautiful. Small sense of awe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,7,7,8,3,4,7,8,8,7,8,1,6,5,3,3,6,8,1,1,56,76,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|2|5|6|1|9|4|7|8|3|10","35.481292724609","-97.577697753906","-1",1,1,7,3,2,5.6
"R_3C4Bis70B136Ydr","Default Response Set","Anonymous","","","71.238.68.234","0",2017-08-24 12:21:08,2017-08-24 12:23:26,1,"975805",1,1,1,0,0,30.437,0,NA,NA,1,NA,"I imagined being in awe of the crazy power of nature. I would be kind of scared because of being so close to something so powerful. At the same time, I would be happy to be there.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,1,9,1,1,9,9,1,1,1,7,6,7,7,4,9,1,2,25,70,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|8|1|10|9|4|5|3|6|7|2","45.514404296875","-122.64329528809","-1",2,1,1,9,9,5.8
"R_3JmBvbl0TflVA1l","Default Response Set","Anonymous","","","69.58.123.15","0",2017-08-24 12:20:24,2017-08-24 12:23:33,1,"784897",1,1,1,0,0,30.456,0,1,NA,NA,NA,"I imagined wandering around alone and thirsty. The sun would be beating down on me and I'd be sweating.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,8,5,2,5,1,8,5,2,5,6,1,4,3,1,7,4,8,1,1,34,74,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|6|3|5|4|1|7|10|2|8|9","39.99299621582","-82.998497009277","-1",2,1,5,2,4,3
"R_3JDx3E7P84NMqjA","Default Response Set","Anonymous","","","98.176.238.152","0",2017-08-24 12:22:07,2017-08-24 12:24:18,1,"940983",1,1,1,0.824,0.824,30.788,1,NA,NA,NA,1,"It would be freezing cold.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,9,1,9,1,9,9,9,1,1,2,3,5,1,9,9,1,1,27,67,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|5|8|1|3|4|6|2|10|9|7","32.636093139648","-117.05319976807","-1",1,1,9,9,9,9
"R_3qsuR0YBkxx38zU","Default Response Set","Anonymous","","","190.75.104.228","0",2017-08-24 12:14:14,2017-08-24 12:24:19,1,"883340",1,1,1,0,0,30.764,0,1,NA,NA,NA,"I am dead thirsty after walking endless hours through the desert looking at animal bones, and seeing that the earth is cracked by lack of water, the option I have is to go to the mountains that are seen on the horizon, as fast as possible Because it is aleady darkening, and try their luck and get some water, and shelter me during the night, since the temperature decreases a lot at night. For tomorrow try to get out of here.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,5,1,9,1,9,9,9,1,9,1,3,7,3,3,8,9,1,1,49,77,2,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|7|3|2|8|5|4|6|9|1|10","10.5","-66.916702270508","-1",2,1,1,1,1,2.6
"R_29fRGPiNLuyp8Qe","Default Response Set","Anonymous","","","69.23.61.144","0",2017-08-24 12:20:34,2017-08-24 12:24:19,1,"948789",1,1,1,0,0,30.739,0,NA,1,NA,NA,"It was freezing cold.  My fingers and toes were like icicles the last time I felt them.  Everyone says that a new snowfall is so beautiful and they're right...when you can observe it from within a warm home.  When you have to be out in it as I do, it's jut COLD.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,5,1,1,9,1,9,1,9,1,1,4,4,5,3,7,7,1,1,50,72,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|3|7|5|4|10|6|9|1|8|2","38.00520324707","-84.983001708984","-1",1,1,9,9,9,5.8
"R_DdS2rewMKAvPICl","Default Response Set","Anonymous","","","75.110.20.176","0",2017-08-24 12:21:27,2017-08-24 12:24:20,1,"877420",1,1,1,0,0,31.271,0,1,NA,NA,NA,"That environment would be terrible, I would be so thirsty.  I would have to rely on drinking my piss and cactus water.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,1,9,9,7,1,1,1,1,1,6,6,6,9,3,9,1,1,23,73,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|10|4|1|2|5|3|7|6|9|8","35.523498535156","-77.300796508789","-1",2,1,1,3,9,3
"R_1jDFrdIBzn47gU3","Default Response Set","Anonymous","","","96.32.75.231","0",2017-08-24 12:12:56,2017-08-24 12:24:33,1,"952294",1,1,1,0,0,30.516,0,NA,NA,1,NA,"I can't imagine it being anything other then hot, hot, hot in there. It looks like an enclosed space with actual lava. I would not want to get any closer for fear of falling into it and suffering a very painful death. It's very bright, though, and it certinly illuminates the cave portion it's in. This isn't a volcano is it? I hope not because I would never get near one of those if its active like that.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,2,3,7,1,7,9,1,8,2,1,6,2,7,1,9,9,1,1,25,74,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|6|5|2|1|7|3|8|4|9|10","34.009094238281","-84.008796691895","-1",2,1,3,3,8,3.6
"R_2dmeSpnyXwqoD8D","Default Response Set","Anonymous","","","69.117.181.144","0",2017-08-24 12:21:18,2017-08-24 12:24:41,1,"874540",1,1,1,0,0,30.433,0,NA,NA,NA,1,"I imagined sleeping in a peaceful state.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,8,8,8,8,7,7,7,6,8,8,1,6,8,7,7,8,7,1,1,27,64,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|3|5|6|4|2|1|10|9|7|8","40.610000610352","-73.910797119141","-1",1,1,2,3,2,4.2
"R_2qqvsVejZxNHD44","Default Response Set","Anonymous","","","68.4.192.232","0",2017-08-24 12:20:21,2017-08-24 12:25:10,1,"979183",1,1,1,1.903,1.903,30.472,1,1,NA,NA,NA,"I imagined it would be lonely. I would feel so isolated in the vastness of the dry heat and surrounding sands and dust. The dead silence would haunt me and make me long for the company of others or any signs of life. I would feel hopeless and in despair.  would wonder how long I would last in this environment. I felt a sense of insecurity and a feeling of loss. I imagined seeking and looking for shelter and water. I imagined how parched I would feel. How dry my skin would be and how tired I would be just eing there.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,4,4,7,1,4,9,1,3,9,1,9,9,9,9,4,9,1,1,41,74,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|2|9|7|6|3|10|5|8|4|1","33.605392456055","-117.66749572754","-1",2,1,3,6,1,3
"R_Z1Y1nAdALlQCPyp","Default Response Set","Anonymous","","","24.88.107.6","0",2017-08-24 12:22:17,2017-08-24 12:25:16,1,"895136",1,1,1,0,0,31.841,0,NA,NA,1,NA,"I would feel nervous and hot. I would want to get away in case it overflowed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,1,1,1,9,9,1,1,1,1,9,3,3,1,9,9,1,2,38,78,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|1|8|2|10|5|4|9|3|6|7","33.979202270508","-81.258903503418","-1",2,1,9,1,9,4.2
"R_1r7Cb47g2VacA5D","Default Response Set","Anonymous","","","74.108.157.105","0",2017-08-24 12:20:52,2017-08-24 12:25:26,1,"961852",1,1,1,0,0,33.826,0,NA,1,NA,NA,"It would be cold and unwelcoming. The steps I make would crunch with the snow underneath my boot. It would be very threatening because of how far from any civilization this area looks. Are there wild animals near and how far can I go before it becomes unsfe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,3,8,1,2,8,1,3,8,8,1,1,8,8,8,9,9,9,1,1,30,75,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|1|2|7|8|5|4|9|10|3|6","40.716796875","-73.986099243164","-1",1,1,8,9,9,7
"R_bJ9nFFAmAzuv0QN","Default Response Set","Anonymous","","","172.72.240.130","0",2017-08-24 12:22:36,2017-08-24 12:26:11,1,"848039",1,1,1,0,0,30.49,0,NA,1,NA,NA,"It is cold, but the wind is still enough to enjoy the chill. I can see by breath and feel my cheeks redden. It's a beautiful winter day. Crisp, fresh air fills my lungs. Christmas is coming.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,9,2,5,1,1,5,1,5,2,1,5,6,6,5,7,9,1,1,27,70,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|3|6|4|8|9|2|7|10|5|1","35.497299194336","-80.675498962402","-1",1,1,5,9,8,5
"R_1d4dURR4WkYZGa4","Default Response Set","Anonymous","","","73.210.172.45","0",2017-08-24 12:24:34,2017-08-24 12:26:26,1,"874555",1,1,1,2.039,2.039,31.035,1,NA,1,NA,NA,"polution free",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,4,3,2,3,3,6,4,2,2,4,1,2,3,2,2,3,3,1,1,33,70,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|4|1|2|9|8|5|7|10|6|3","41.785293579102","-87.773399353027","-1",1,1,7,4,6,4.2
"R_1jxrWi72Ql9RuKS","Default Response Set","Anonymous","","","68.53.31.78","0",2017-08-24 12:17:28,2017-08-24 12:26:52,1,"861817",1,1,1,0,0,30.514,0,1,NA,NA,NA,"If I were in the environment shown I would be lost and confused and probably in tears.  I am most likely out of water and have no food.  I have no sense of any direction I should travel in to get to safety.
I would also be afraid of any animals and predatrs that are out there.  I would have to find some place to lay my head when I was tired.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,3,1,7,2,9,9,1,4,1,1,5,1,1,1,9,8,1,2,68,72,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|10|8|9|6|7|5|1|4|3|2","35.798202514648","-86.435600280762","-1",2,1,3,1,9,3
"R_3Ej8jjs7u3PUiLC","Default Response Set","Anonymous","","","104.174.223.0","0",2017-08-24 12:23:48,2017-08-24 12:27:30,1,"998998",1,1,1,0,0,31.301,0,NA,NA,NA,1,"I feel cold. I feel lonely. I feel powerless and controlled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,4,4,6,2,6,1,6,8,4,1,1,2,3,3,8,2,9,1,1,28,80,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|2|10|8|6|7|3|5|4|9|1","34.078994750977","-117.84939575195","-1",1,1,8,9,9,8
"R_1rcClaa2nQP6qFg","Default Response Set","Anonymous","","","73.8.183.200","0",2017-08-24 12:24:01,2017-08-24 12:27:41,1,"976612",1,1,1,0,0,30.426,0,NA,NA,1,NA,"I was thinking wow this is really neat, then I thought its probably really hot right now. I was also thinking I hope this doesn't erupt on me.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,3,8,6,8,9,3,9,9,2,2,1,6,4,8,2,8,9,1,1,24,70,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|6|4|2|8|10|5|1|7|3|9","41.896301269531","-88.744201660156","-1",2,1,2,7,8,6.4
"R_11Xt2GfKYuaroCH","Default Response Set","Anonymous","","","173.239.220.8","0",2017-08-24 12:25:54,2017-08-24 12:28:16,1,"885220",1,1,1,0,0,30.516,0,NA,NA,NA,1,"Cold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,5,5,3,3,5,5,5,5,2,1,5,3,3,4,6,4,1,1,34,73,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|1|4|6|2|7|9|5|10|8|3","40.551605224609","-74.46369934082","-1",1,1,7,5,8,6
"R_2pXmSlYcl5KrMJ5","Default Response Set","Anonymous","","","73.116.60.25","0",2017-08-24 12:24:40,2017-08-24 12:28:21,1,"990147",1,1,1,0,0,30.516,0,NA,1,NA,NA,"It looks very peaceful and cozy to be there, if you're dressed well. It felt nice, it looked like a mystical snowy forest, what I'd imagine would be in a video game. I could definitely imagine myself being there again.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,7,4,7,1,6,2,3,3,7,3,1,8,4,6,7,9,9,1,1,38,80,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|1|7|9|5|8|6|10|3|4|2","38.668106079102","-121.37359619141","-1",1,1,9,8,7,6.8
"R_3r1GOLhc3FSmpga","Default Response Set","Anonymous","","","47.33.193.124","0",2017-08-24 12:20:42,2017-08-24 12:28:52,1,"897643",1,1,1,0,0,30.446,0,NA,NA,1,NA,"I think it would be hotter than anything I've ever experienced before. I would probably run back down the volcano, or I would trip and fall in. Either or.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,1,9,1,9,5,9,1,1,1,1,5,7,3,6,5,9,1,1,34,76,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|9|3|10|8|4|1|5|7|6|2","43.044296264648","-83.519203186035","-1",2,1,9,5,9,6.6
"R_2Ezu6Vu8RjqvF7a","Default Response Set","Anonymous","","","108.214.54.77","0",2017-08-24 12:25:33,2017-08-24 12:29:25,1,"933146",1,1,1,0,0,30.441,0,NA,NA,NA,1,"I can imagine that the air would be crisp and fresh, but very cold, so much that there is a bite to it. It would probably make me shiver and possibly freeze the inside of my nose. It would be beautiful to look at the glaciers and see my breath as I exhale. The sun would feel great on my back.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,5,9,1,1,1,1,9,1,7,1,1,4,6,3,2,9,8,1,1,25,74,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|9|3|2|5|1|7|8|4|10|6","25.658599853516","-80.356796264648","-1",1,1,9,9,9,5.8
"R_sBDmXq6IXwNScNz","Default Response Set","Anonymous","","","67.235.12.181","0",2017-08-24 12:23:27,2017-08-24 12:29:44,1,"818337",1,1,1,0,0,30.478,0,1,NA,NA,NA,"I am the one who runs from both the living and the dead, hunted by scavengers, haunted by those I could not protect.  So I exist in this wasteland, a man, reduced to a single instinct.  Survive.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,5,1,9,5,8,9,1,4,9,1,5,1,1,1,7,9,1,1,31,68,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|4|3|6|1|8|2|10|9|7|5","40.180801391602","-77.213897705078","-1",2,1,1,2,1,1.2
"R_yllyR0kbkU2Gyad","Default Response Set","Anonymous","","","68.53.243.103","0",2017-08-24 12:25:57,2017-08-24 12:30:03,1,"846810",1,1,1,0,0,30.486,0,NA,NA,1,NA,"Hot and dark.  Hopefully a little mystical, because I would be transfixed, watching the lava.  I think it would be soothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,7,7,2,2,8,3,9,2,7,3,1,4,2,3,3,8,8,1,2,33,75,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|6|1|10|9|2|3|7|5|4|8","34.936401367188","-85.310096740723","-1",2,1,8,7,7,5.2
"R_2dHliwpXZ6paC7s","Default Response Set","Anonymous","","","24.145.32.3","0",2017-08-24 12:12:52,2017-08-24 12:30:18,1,"815553",1,1,1,0,0,31.137,0,NA,NA,1,NA,"I feel like it would be warm, but very exciting.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,2,1,9,1,8,9,1,1,1,1,6,3,2,3,6,5,1,1,25,75,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|6|7|2|10|9|1|3|5|4|8","33.448303222656","-81.692100524902","-1",2,1,1,2,9,2.8
"R_V4EhkSBlufm4lUd","Default Response Set","Anonymous","","","12.204.222.254","0",2017-08-24 12:27:10,2017-08-24 12:31:15,1,"992937",1,1,1,0,0,31.802,0,NA,1,NA,NA,"I'd imagine that it would be pretty, but too cold to be comfortable for very long. I don't think I'd want to spend more than maybe 20-30 minutes in an environment like that.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,7,7,1,2,4,8,1,1,1,1,3,6,7,8,3,9,1,1,37,69,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|7|8|5|4|2|10|6|1|3|9","35.046798706055","-85.291603088379","-1",1,1,9,6,9,6.4
"R_2sRzLeGNKj6QgwB","Default Response Set","Anonymous","","","96.30.236.254","0",2017-08-24 12:25:18,2017-08-24 12:31:26,1,"825200",1,1,1,0,0,30.607,0,1,NA,NA,NA,"It would be a very dry place, maybe it is summer and there is no water to be drank. I am thirsty and there is no highway to go to, maybe i am driving through here. It is very bright and there is not a cloud in the sky.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,1,5,9,6,3,4,3,2,1,5,7,9,5,9,9,1,2,40,76,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|5|6|1|3|4|2|10|9|8|7","31.545196533203","-109.46769714355","-1",2,1,5,4,8,4.4
"R_1Q5j8wIkuUQnrFz","Default Response Set","Anonymous","","","12.218.182.74","0",2017-08-24 12:28:33,2017-08-24 12:31:44,1,"877171",1,1,1,0,0,30.705,0,NA,NA,1,NA,"I WOULD BE A LITTLE SCARED OF FALLING IN THE VOLCANO.  I WOULD BE IN AWE, BUT ALSO UNCOMFORTABLE BECAUSE OF THE HEAT AND SULFUR SMELL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,5,1,9,5,9,9,1,1,5,1,5,1,1,1,9,9,1,1,32,80,1,1,"simulation","Q86|Q46|Q129|Q40|Q71","","Q56|1|3|4|2|8|9|5|7|10|6","27.789596557617","-80.599601745605","-1",2,1,1,1,5,1.8
"R_22Rp2TP7xtHtaC7","Default Response Set","Anonymous","","","69.147.208.59","0",2017-08-24 12:27:53,2017-08-24 12:32:18,1,"982430",1,1,1,0,0,31.045,0,1,NA,NA,NA,"It would hot, dry, windy and depressing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,9,1,5,1,9,3,9,1,1,1,1,5,1,5,3,6,9,1,2,40,70,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|3|8|6|10|7|4|9|1|2|5","45.483093261719","-92.539703369141","-1",2,1,9,7,9,6.2
"R_Q5GtkQbegCuWPtL","Default Response Set","Anonymous","","","173.170.194.115","0",2017-08-24 12:26:45,2017-08-24 12:32:28,1,"943232",1,1,1,0,0,30.505,0,1,NA,NA,NA,"It would be pretty hot, but I would feel a cool breeze every so often. I would actually find it quite beautiful to look up at the sky and never ending landscape, so I would probably find some good music on my phone and take it all in.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,8,1,1,7,7,9,1,2,2,1,7,7,3,1,9,9,1,1,38,75,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|5|3|10|8|7|2|9|1|4|6","28.483795166016","-82.513000488281","-1",2,1,9,3,8,4.4
"R_3kLm5t8CI5bJsch","Default Response Set","Anonymous","","","142.196.229.160","0",2017-08-24 12:24:33,2017-08-24 12:33:11,1,"782756",1,1,1,19.15,19.15,30.968,1,1,NA,NA,NA,"The first thought that I had was that I would be terribly thirsty and hot. I also would be scared because there appears to be no life around. No cities, towns, roads, etc. I would wonder and end up panicking because I would not know how in the world I coud get out of that environment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,3,2,1,9,9,9,3,1,6,1,1,5,8,2,7,9,9,1,1,43,79,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|5|7|10|1|4|8|2|6|9|3","28.676605224609","-81.199096679688","-1",2,1,1,1,9,2.6
"R_2X6aZJ29LP23oVB","Default Response Set","Anonymous","","","97.95.27.177","0",2017-08-24 12:29:21,2017-08-24 12:33:25,1,"968642",1,1,1,0,0,30.461,0,NA,NA,NA,1,"It would be very cold. In particular, I can imagine my toes being numb and my cheeks being very cold to the touch. I don't feel much, if any wind, so that makes the overall environment pretty quiet.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,3,7,7,3,2,2,7,6,8,7,1,4,4,7,4,7,8,1,1,37,70,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|4|2|1|5|6|8|3|7|9|10","43.190795898438","-83.916702270508","-1",1,1,7,8,3,6.2
"R_3z1HR6Jg2xAUvZL","Default Response Set","Anonymous","","","108.209.102.65","0",2017-08-24 12:31:13,2017-08-24 12:34:04,1,"789548",1,1,1,0,0,31.705,0,NA,1,NA,NA,"It would be cold and silent. All you could hear is the sound of snow crunching under your feet.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,2,5,7,3,8,2,9,9,8,1,1,3,3,5,2,7,9,1,1,27,72,1,1,"simulation","Q86|Q46|Q129|NP_C_2|Q71","","Q56|3|5|4|1|9|2|6|7|8|10","33.944305419922","-84.21240234375","-1",1,1,7,8,9,8
"R_3HNy68StarawK60","Default Response Set","Anonymous","","","98.227.126.206","0",2017-08-24 12:31:41,2017-08-24 12:34:21,1,"812506",1,1,1,4.198,4.198,30.43,1,1,NA,NA,NA,"I would feel very isolated and lonely.  I would think about how there are no plants around.  I would imagine that it would be very dry.  The air would be pleasantly dry.  There would be no humidity.  I would feel sand between my toes and would be a bit anoyed at how difficult it would be to talk.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,6,6,8,3,7,7,8,3,3,1,1,7,3,5,2,8,9,1,1,31,74,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|8|3|6|7|1|9|2|10|4|5","42.341201782227","-88.113700866699","-1",2,1,7,3,9,6
"R_2yroRrtAs9mnolI","Default Response Set","Anonymous","","","108.64.75.194","0",2017-08-24 12:13:27,2017-08-24 12:34:45,1,"839347",1,1,1,0,0,30.448,0,NA,NA,NA,1,"I would feel very isolated and extremely cold. I would be miserable and would probably die. I hate cold weather.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,9,9,1,1,1,9,9,1,1,1,3,3,8,4,7,9,1,2,34,70,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|9|10|3|1|6|8|2|5|4|7","38.112899780273","-122.13310241699","-1",1,1,9,9,9,9
"R_3nCA9KH4oPoZI1l","Default Response Set","Anonymous","","","108.39.140.38","0",2017-08-24 12:29:59,2017-08-24 12:34:51,1,"825386",1,1,1,0,0,30.492,0,NA,NA,NA,1,"It was a glacier paradise. I would love to be there.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,4,7,3,7,3,7,7,3,3,5,1,5,7,7,3,7,8,1,1,36,78,1,1,"simulation","Q86|Q46|Q129|Q41|Q71","","Q56|3|10|2|9|8|1|7|4|6|5","40.443893432617","-79.956100463867","-1",1,1,3,3,5,3.4
"R_2sdpTDjaXzF1HWU","Default Response Set","Anonymous","","","70.119.78.209","0",2017-08-24 12:32:15,2017-08-24 12:35:18,1,"814958",1,1,1,0,0,30.446,0,1,NA,NA,NA,"It would be dry and hot. Not much around to survive off of like water or plants or animals. Would be hard to find shelter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,1,1,9,1,9,1,9,1,1,1,1,4,4,6,6,4,9,1,1,24,70,1,1,"simulation","Q86|Q46|Q129|NP_H_1|Q71","","Q56|7|10|5|4|2|6|3|1|9|8","33.036193847656","-96.671203613281","-1",2,1,9,9,9,7.4
