"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q37","Q39","Q22","Q27","Q24_1","Q24_2","Q24_3","Q24_4","h_n","F_n","Q35","Q27.0","Q28","Q29","Q30","Q31","Q32","Q73","Q51","tired","hungry","thirsty","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q28_1","Q29_1","Q35.0","Q38","DO_BL_simulation","DO_BL_food_size","LocationLatitude","LocationLongitude","LocationAccuracy","condition","choice_size"
"R_2sby4REsGmRAyAr","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 15:24:34,2016-11-05 15:32:20,1,"46",1,1,1,7.054,7.054,142.395,1,"","Uncomfortable, bloated, with some associated abdominal pain. A sense of having overindulged. Would go for walk to relive discomfort. Would seek antacid.",1,1,1,1,4,2,2,1,5,6,4,7,1,1,72,1,NA,NA,NA,1,NA,NA,2,16,1,1,"Q22|Q27|Q24|F_n","Q35|Q29|Q30|Q28|Q27|Q31|Q32","41.780395507812","-87.602699279785","-1",2,1
"R_22Pn8Ik7HONesKU","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-05 15:38:43,2016-11-05 15:45:50,1,"46",1,1,1,17.218,17.218,174.479,1,"","Oh, my word? WHY did I eat ALL that? I feel nauseous, as if my body would like to give some back. I feel the fullness crawling back up my esophagus and I keep thinking that if I drink more water to push it all back down, I will feel relief from this miserble over-stuffing. Water doesn't help really, but the sudden urge to take a nice walk has me putting on my shoes. I hope this will cause my body to require the food for energy and will start to relieve the too full pressure.",1,1,2,1,3,3,3,1,7,3,5,7,1,2,44,1,NA,NA,NA,1,NA,NA,2,6,1,1,"Q22|Q27|Q24|F_n","Q35|Q28|Q30|Q29|Q27|Q31|Q32","41.780395507812","-87.602699279785","-1",2,1.33333333333333
"R_qyLiKeojuXGm7jb","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 11:26:34,2016-11-07 11:51:27,1,"47",1,1,1,14.623,14.623,118.773,1,"well when hungry I look for something to eat I feel normal I am enjoying my visit to the museum","",1,1,1,1,2,1,1,1,7,6,8,7,1,1,46,1,NA,NA,NA,1,NA,NA,8,8,1,1,"Q22|Q27|Q24|h_n","Q35|Q32|Q27|Q28|Q31|Q30|Q29","41.780395507812","-87.602699279785","-1",1,1
"R_WdEiVYYrGk7Aihr","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 11:52:37,2016-11-07 11:59:02,1,"48",1,1,1,25.321,67.161,70.821,3,"Stomach would hurt.  Thinking about food  most;ly carbs.  Trying to get to food. Unhappy","",1,4,1,2,3,4,3,1,5,3,3,8,1,2,69,1,NA,NA,NA,1,NA,NA,1,14,1,1,"Q22|Q27|Q24|h_n","Q35|Q29|Q32|Q31|Q30|Q28|Q27","41.780395507812","-87.602699279785","-1",1,2.33333333333333
"R_1r7c5XdpW4KQHl3","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 12:00:04,2016-11-07 12:07:56,1,"49",1,1,1,9.457,9.457,102.576,1,"","I feel really bloated right now, how discreetly can I unbutton my jeans? Nah, someone will notice. Why did I eat so much? Would've enjoyed the food more if I ate less...Plus now I'm even more tired than before.",1,2,2,2,2,4,1,1,5,6,6,7,1,2,24,1,NA,1,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q29|Q30|Q28|Q32|Q31|Q27","41.780395507812","-87.602699279785","-1",2,2
"R_DTfVqBGFGKsIwKd","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 12:08:57,2016-11-07 12:19:53,1,"50",1,1,1,15.664,58.411,61.802,2,"","Uncomfortable.  I would feel tired and lazy.  I would want to lay down and do nothing
",1,3,2,1,2,3,3,1,7,5,3,7,1,2,25,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q32|Q29|Q28|Q30|Q27","41.780395507812","-87.602699279785","-1",2,2
"R_rl6awQ65wK24tcR","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 12:20:44,2016-11-07 12:27:45,1,"51",1,1,1,12.478,12.478,68.757,1,"i would be thinking about finding some food to eat and if i should be eating it on my diet. My stomach usually makes a lot of noise when im hungry. i usually like to be very vocal about my hunger. Ill tell everyone and let them know.","",1,2,3,1,4,2,4,1,5,2,3,3,1,1,26,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q31|Q29|Q32|Q28|Q27","41.780395507812","-87.602699279785","-1",1,2
"R_1Hi3kgmQZGmRJP1","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 12:28:35,2016-11-07 12:36:18,1,"52",1,1,1,21.586,21.586,147.537,1,"","If I was full , I would feel like I couldnt put one more thing in my mouth. My clothes would be tight and they would squeeze my middle making me fell extremely uncomfortable. I wouldnt want to sit very long . I would feel like reclining.",1,2,2,3,2,4,4,1,4,4,5,7,1,2,49,1,NA,NA,NA,1,NA,NA,3,3,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q28|Q31|Q30|Q29|Q32","41.780395507812","-87.602699279785","-1",2,2.33333333333333
"R_NVAJdwaSmPUE3IZ","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 12:36:39,2016-11-07 12:42:29,1,"53",1,1,1,13.1,13.1,98.844,1,"I'd be thinking about what I could eat.  Hopefully something healthy. I would also be thinking that I should drink some water to help fill me up.","",1,2,3,4,3,2,4,1,3,5,5,6,1,2,48,1,NA,NA,1,1,NA,NA,2,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q29|Q32|Q28|Q27|Q30","41.780395507812","-87.602699279785","-1",1,3
"R_32JalrBtqDrFgw5","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 12:43:22,2016-11-07 12:49:50,1,"54",1,1,1,27.609,27.609,85.638,1,"","Body is sleepy, want to rest. actions are slower.",1,1,1,1,1,1,2,1,5,6,1,5,1,2,55,1,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q30|Q31|Q28|Q32|Q29","41.780395507812","-87.602699279785","-1",2,1
"R_1mw7tUZrd1912Qw","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 12:50:48,2016-11-07 12:56:24,1,"55",1,1,1,23.456,23.456,79.312,1,"mind will be thinking about food almost all of the time
i will act a bit irritated
i will be planning about my next meal while thinking why i am in this situation..","",1,2,2,1,3,3,3,1,5,3,3,3,1,1,37,2,NA,1,NA,NA,NA,NA,1,1,1,1,"Q22|Q27|Q24|h_n","Q35|Q27|Q31|Q29|Q28|Q30|Q32","41.780395507812","-87.602699279785","-1",1,1.66666666666667
"R_3gMlk6jMdrtUPrm","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 12:57:30,2016-11-07 13:10:06,1,"56",1,1,1,10.272,10.272,84.142,1,"My stomach is growling sooo much!  I'm embarassed by the sounds that it's making.  I would really like any form of food right now.... my sandwhich would taste amazing!  How much longer until I can eat?  I'm feeling anxious until lunch time.  I'm feeling ebarssed by the sounds my stomach is making.  My attention span is getting shorter.","",1,3,1,3,1,1,1,1,5,6,3,3,1,2,29,1,NA,NA,NA,1,NA,NA,2,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q27|Q28|Q32|Q29|Q31","41.780395507812","-87.602699279785","-1",1,2.33333333333333
"R_2s4uM15Gv5IXulw","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 13:10:57,2016-11-07 13:24:48,1,"57",1,1,1,23.286,101.722,104.885,2,"","If I am really full right now, my stomach feels heavy. I feel a little tired and maybe a little disappointed that I ate so much. I want to take a nap and I am thinking about going for a run after I wake up and feel less full.",1,2,2,2,2,1,3,1,6,6,3,4,1,2,29,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q30|Q28|Q31|Q29|Q32","41.780395507812","-87.602699279785","-1",2,2
"R_2ZPNW2DSO51A4R9","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 13:25:22,2016-11-07 13:41:16,1,"58",1,1,1,11.599,236.71,238.378,4,"If I were very hungry right now I would be thinking about food and would probably be a little crabby. My insides would be hurting and I would feel some rumbling in my stomach. As time would progress without food, I would probably get a headache and feel lght headed. i would persistently be thinking about stopping for fast food or what I could eat and how fast I could eat it.","",1,1,4,4,4,4,3,1,5,3,5,7,1,2,46,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q29|Q32|Q27|Q31|Q28|Q30","41.780395507812","-87.602699279785","-1",1,3
"R_2S76cP9mionqsFn","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 13:44:54,2016-11-07 14:01:02,1,"59",1,1,1,17.141,17.141,92.759,1,"","To be very full is sort of uncomfortable, my stomach might be bulging and I would probably be a little tired.",1,1,1,1,3,1,1,1,5,5,2,5,1,2,58,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q27|Q30|Q28|Q29|Q32","41.780395507812","-87.602699279785","-1",2,1
"R_xxCOQ027rmUmYgN","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 14:01:37,2016-11-07 14:05:57,1,"60",1,1,1,4.829,4.829,74.129,1,"","I would be siting at a table after  a lovely meal.",1,3,2,1,2,3,4,1,5,6,6,6,1,2,45,1,NA,NA,NA,NA,1,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q29|Q32|Q31|Q28|Q27|Q30","41.780395507812","-87.602699279785","-1",2,2
"R_9TamVwYldQDwsxP","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 14:07:51,2016-11-07 14:14:05,1,"61",1,1,1,8.715,8.715,172.357,1,"My stomach would be growling and periodically I will feel some pain in my stomach area. I would try to divert my thoughts from food and focus on the task at hand, but often unsuccessfully. I would imagine all my favorite foods and how nice it would be to o home and cook something. After being hungry for a few hours, as is the case when I am in three-hour classes, I get used to the stomach pain and the sensation of being hungry takes a back seat. After this point, I usually wait until going home to eat insead of finding something to eat right away.","",1,2,4,3,3,3,3,1,7,4,7,9,1,2,24,1,NA,1,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q31|Q32|Q29|Q27|Q28","41.780395507812","-87.602699279785","-1",1,3
"R_1yTZsxulI9EqTux","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 14:16:14,2016-11-07 14:37:26,1,"62",1,1,1,6.358,64.039,65.04,2,"I'm very hungry and I'm craving absolutely anything I can get, but it's usually something that's fast and cheap and will fill me up. Generally I'm frustrated with everything","",1,2,1,1,2,1,1,1,9,5,3,9,1,2,31,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q29|Q31|Q30|Q27|Q32|Q28","41.780395507812","-87.602699279785","-1",1,1.33333333333333
"R_3Ofgx48mBbYXwUV","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 14:38:36,2016-11-07 14:49:33,1,"63",1,1,1,16.42,16.42,89.651,1,"","My stomach hurts a bit, I have a tight throat. Thinking of food makes me sick. I fell a bit sleepy and want to lie down.",1,1,1,1,1,1,2,1,7,5,2,2,1,1,26,2,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q31|Q30|Q28|Q27|Q29","41.780395507812","-87.602699279785","-1",2,1
"R_3s4j8NshKWd4jHc","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 14:50:21,2016-11-07 15:00:13,1,"64",1,1,1,23.155,197.852,199.691,2,"I will be thinking about a steak. I will feel like my stomach is empty and hurting. I will act very irritated and tired. I will be very ready to and not thinking about any thing else but eating. I will want to go eat as soon as possible and everything i sell i will want to eat.","",1,4,3,3,4,4,4,1,8,3,8,7,1,2,29,1,1,NA,NA,NA,NA,NA,20,18,1,1,"Q22|Q27|Q24|h_n","Q35|Q32|Q28|Q27|Q30|Q29|Q31","41.780395507812","-87.602699279785","-1",1,3.33333333333333
"R_24CVpYTva7D9sKR","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-07 15:01:52,2016-11-07 15:12:58,1,"65",1,1,1,8.36,8.36,107.136,1,"","When I feel very full, I don't feel like moving. I become very tired and have pain in my stomach.  I feel lethargic and have guilt immediately upon realizing just how full I am.  I would also most likely not want to do any major physical activity.",1,2,2,2,2,1,1,1,6,5,7,7,1,2,32,1,NA,NA,NA,1,NA,NA,5,5,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q32|Q27|Q29|Q30|Q28","41.780395507812","-87.602699279785","-1",2,2
"R_1ItprDXHw0fzujj","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 11:57:46,2016-11-15 12:06:26,1,"66",1,1,1,8.025,8.025,62.658,1,"","very sad and uncomfortable, why did i do this again? i will never be hungry for the rest of my life.  very grumpy and agitated.",1,2,2,1,2,3,2,1,6,3,4,6,1,1,30,1,NA,NA,NA,1,NA,NA,14,14,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q29|Q28|Q30|Q31|Q27","41.920593261719","-87.701698303223","-1",2,1.66666666666667
"R_cIbdeR8sdN5Iapb","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 12:08:01,2016-11-15 12:14:33,1,"67",1,1,1,5.264,5.264,124.546,1,"food. the smell of the barbeque coming from the grill. looking for a food place that is close. My stomach is growling the more that i am thinking of food and especially that i am writing about it. i recently ate breakfast, but i saw a truck on the way to he museum with food pictures on the side, and i have been a bit hungry ever since we got here. the smell from the food courts is making me hungry. I am less patient with my son when i am hungry.","",1,1,2,1,2,1,1,1,6,6,7,3,1,2,28,1,NA,NA,NA,1,NA,NA,NA,3,1,1,"Q22|Q27|Q24|h_n","Q35|Q29|Q28|Q31|Q32|Q30|Q27","41.920593261719","-87.701698303223","-1",1,1.33333333333333
"R_spLQSNehlGN3dUl","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 12:15:12,2016-11-15 12:43:32,1,"68",1,1,1,19.366,19.366,68.418,1,"I would have a funny feeling in my stomach, difficult to think and getting grouchy.","",1,1,2,1,3,1,2,1,5,7,3,5,1,2,75,1,NA,NA,NA,NA,1,NA,4,16,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q28|Q30|Q32|Q27|Q29","41.920593261719","-87.701698303223","-1",1,1.33333333333333
"R_1K9HUVxeUFi7v8v","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 12:44:13,2016-11-15 13:01:14,1,"69",1,1,1,20.252,136.563,190.581,17,"","i am feeling some discomfort in my stomach.  My pants feel tite.",1,1,1,2,3,3,2,1,5,5,3,5,1,1,65,1,NA,NA,NA,1,NA,NA,2,12,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q30|Q29|Q32|Q28|Q27","41.920593261719","-87.701698303223","-1",2,1.33333333333333
"R_eIOW193hEZ0cHO9","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 13:02:43,2016-11-15 13:14:43,1,"70",1,1,1,7.258,7.258,83.405,1,"I'm lying down on the couch, realizing my stomach is grumbling and that I'm getting excessively tired. And probably a little grumpy. I would be thinking about how I need to go get food but my hunger itself is making me lazy. I would also be taking a menta inventory of all the food in my house I could eat or restaurant food to order.","",1,1,4,1,2,1,2,1,5,3,5,8,1,1,25,1,NA,NA,NA,1,NA,NA,4,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q27|Q32|Q29|Q30|Q31|Q28","41.920593261719","-87.701698303223","-1",1,2
"R_Ad4nVp0S0EHZwVX","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 13:15:05,2016-11-15 13:43:16,1,"71",1,1,1,23.704,24.739,204.675,4,"","I feel like I have a load in my gut that is weighing me down.  My legs feel leaden, my body feels like taking a nap, my eyes are sort of in a sleep mode, I am not feeling real active. Mentally I am not as alert as I would be if I had not just eaten.",1,1,2,3,4,3,3,1,4,7,3,5,1,1,78,1,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q29|Q32|Q27|Q30|Q28|Q31","41.920593261719","-87.701698303223","-1",2,2
"R_1OIcR0qB1WrGtXF","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 13:44:10,2016-11-15 13:56:43,1,"72",1,1,1,2.831,2.831,94.596,1,"I am very hungry so I am thinking about what I am going to eat the next chance I can and when I'll be able to eat next. My stomach probably hurts and is grumbling uncomfortably. If I'm very hungry, I'm probably very anxious to figure out my next plans andmy head likely is getting lightheaded depending on how hungry I am.","",1,3,3,2,3,3,4,1,5,5,7,7,1,2,25,1,NA,NA,NA,1,NA,NA,2,14,1,1,"Q22|Q27|Q24|h_n","Q35|Q31|Q27|Q30|Q28|Q32|Q29","41.920593261719","-87.701698303223","-1",1,2.66666666666667
"R_4ZuDEId9O2yKzdL","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 13:57:19,2016-11-15 14:00:45,1,"73",1,1,1,4.523,4.523,66.184,1,"","If i was very full right now I would be uncomfortable, want to be laying down in my bed.  I would be unhappy about walking around at a museum. I would probably also feel very hot and be irritable about interacting with other people.  I also would be thinkng about how good my meal was.",1,2,3,3,2,4,4,1,6,3,7,5,1,2,24,1,NA,NA,NA,1,NA,NA,5,5,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q30|Q28|Q32|Q31|Q29","41.920593261719","-87.701698303223","-1",2,2.66666666666667
"R_31SJy5dyipAKhfR","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 14:01:46,2016-11-15 14:16:13,1,"74",1,1,1,30.006,30.006,101.447,1," I would lack energy and have a head ache. It would be hard for me to think of anything other than food.","",1,1,3,1,2,2,3,1,6,3,5,4,1,1,47,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q28|Q32|Q31|Q29|Q27","41.920593261719","-87.701698303223","-1",1,1.66666666666667
"R_1zDkAnqTI6MZfOx","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 14:19:58,2016-11-15 14:29:42,1,"75",1,1,1,11.528,11.716,63.634,2,"","I would start to feel sick.  Bloated and heavy.  I would want to sit like a lump.  I would regret that I ate so much.  
",1,1,2,1,1,1,3,1,7,8,3,7,1,2,35,1,NA,NA,NA,1,NA,NA,3,3,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q32|Q28|Q30|Q31|Q29","41.920593261719","-87.701698303223","-1",2,1.33333333333333
"R_2f7MsGGNZj9kAVp","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 14:30:34,2016-11-15 14:36:21,1,"76",1,1,1,10.523,10.523,79.465,1,"Cranky, irritated, wanting to limit interactions with others, looking for food. Visibly tired, unable to concentrate as much.","",1,1,2,1,1,1,3,1,5,3,1,3,1,1,41,2,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|h_n","Q35|Q27|Q29|Q28|Q30|Q32|Q31","41.920593261719","-87.701698303223","-1",1,1.33333333333333
"R_1N3M7H5KapM0Avz","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 14:36:56,2016-11-15 14:42:40,1,"77",1,1,1,1.781,104.034,108.419,4,"","I'd be thinking about how I feel like crap.  I'd feel fairly miserable and I'd probably just want to loaf around and read facebook; which given the recent election would just make me even more miserable.",1,1,2,1,2,1,2,1,6,6,5,8,1,1,35,1,NA,1,NA,1,NA,NA,7,16,1,1,"Q22|Q27|Q24|F_n","Q35|Q27|Q28|Q32|Q31|Q30|Q29","41.920593261719","-87.701698303223","-1",2,1.33333333333333
"R_3jW1K8kViY6Y4Lz","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 14:43:14,2016-11-15 15:00:30,1,"78",1,1,1,21.938,219.086,240.213,5,"","I would feel regret for overeating and try to ""bargain"" with myself that next time I wouldn't overeat.  or decide that the next meal would be very light and healthy.  My body would feel heavy and sluggish.  Instead of doing a sedentary activity, I would mke an effort move more - like take a walk, stretch, do housework - depending on time of day.",1,1,2,3,4,3,4,1,7,2,1,6,1,2,56,1,NA,1,NA,NA,NA,NA,3,3,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q32|Q27|Q28|Q29|Q30","41.920593261719","-87.701698303223","-1",2,2
"R_2TYQWG2XXkuqnBN","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 15:01:30,2016-11-15 15:08:48,1,"79",1,1,1,16.174,182.906,184.289,22,"If I was very hungry right now, I would be thinking about the amount of funds I have, locations that match my funds, places that fit in with my taste, and the quickness I would be able to get food. I would feel weak and light headed. I would also feel sic and I would feel confused. Sometimes I wouldn't even know what to eat. I would end up picking the most cost effective food that gains the most. [ i.e. find coupons or groupon].","",1,1,4,1,2,2,3,1,5,7,7,7,1,2,25,1,1,NA,NA,NA,NA,NA,4,14,1,1,"Q22|Q27|Q24|h_n","Q35|Q28|Q27|Q32|Q30|Q29|Q31","41.920593261719","-87.701698303223","-1",1,2
"R_3M0cQLcF0iFVK2n","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 15:09:13,2016-11-15 15:16:01,1,"80",1,1,1,2.145,103.842,138.788,11,"My stomach is  aching and my mouth tastes bad, I feel I cannot concentrate on conversation and will not be in a good mood until I am fed. I am thinking of cheese, bread, heavy, starchy, flavorful food filling the glaringly empty hole in my stomach.","",1,3,1,2,1,1,1,1,6,8,2,8,1,2,21,1,NA,NA,NA,1,NA,NA,0,4,1,1,"Q22|Q27|Q24|h_n","Q35|Q28|Q32|Q29|Q31|Q30|Q27","41.920593261719","-87.701698303223","-1",1,2
"R_1Qg4zcTFremq4Go","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-15 15:17:00,2016-11-15 15:32:52,1,"81",1,1,1,7.377,65.881,86.008,4,"","I would want to be home and would feel pain and grea discomfort.  i would not be in a good mood.  I would feel intensely guilty about eating more than I know I should have and didn't pay attention to the signs that I had reached my limit.",1,3,2,2,1,1,1,1,5,7,7,7,1,2,43,1,NA,NA,1,NA,NA,NA,8,16,1,1,"Q22|Q27|Q24|F_n","Q35|Q30|Q28|Q31|Q32|Q29|Q27","41.920593261719","-87.701698303223","-1",2,2.33333333333333
"R_1FRkgYyu1rGq1tS","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 11:30:49,2016-11-16 11:51:48,1,"82",1,1,1,5.96,122.103,249.926,3,"","Whenever I feel full it is usually because I have eaten a large meal. I like to spend money on food at restaurants because I like not having to clean up after the meal and I also like to not prepare food. I don't like to prepare food because I am bad at coking. Sometimes, especially around the holidays, I feel 'full' when I buy presents for my friends and family. It makes me feel good and 'full' to buy things for the people I care about. So I guess in both instances I feel full when I buy things.",1,3,2,2,3,4,4,1,6,7,2,4,1,1,23,1,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|F_n","Q35|Q28|Q32|Q27|Q31|Q29|Q30","41.920593261719","-87.701698303223","-1",2,2.33333333333333
"R_3OoaDTD59ImaIqw","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 11:52:19,2016-11-16 12:00:56,1,"83",1,1,1,2.036,2.036,90.181,1,"","Being full feels like my stomach will pop out of me. My body feels very relaxed. I would act energy-filled and eventually get very drowsy.",1,1,3,1,3,4,1,1,7,1,1,7,1,1,17,1,1,NA,NA,NA,NA,NA,0,NA,1,1,"Q22|Q27|Q24|F_n","Q35|Q30|Q29|Q32|Q31|Q28|Q27","41.920593261719","-87.701698303223","-1",2,1.66666666666667
"R_3DdToxLFBVBYfxX","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 12:01:08,2016-11-16 12:08:06,1,"84",1,1,1,8.001,170.398,171.861,2,"Some white rice coupled with two egg rolls and orange chicken. The aroma of the steaming hot dish would cause my stomach to growl uncontrollably. I'll get up immediately and eat.","",1,4,4,3,4,4,4,1,5,6,3,4,1,2,17,1,1,NA,NA,NA,1,1,0,NA,1,1,"Q22|Q27|Q24|h_n","Q35|Q32|Q27|Q28|Q29|Q30|Q31","41.920593261719","-87.701698303223","-1",1,3.66666666666667
"R_2WAwSBQyQTYnDRk","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 12:08:39,2016-11-16 12:15:29,1,"85",1,1,1,4.616,119.228,120.741,7,"","My limbs and whole body would feel heavy. I'd feel sleepy and want to take a nap. My head would be slightly fuzzy but not painfully so. I wouldn't react to things as fast. My stomach would be bloated and I would not want to move at all.",1,2,2,3,3,2,3,1,6,5,7,7,1,2,21,1,NA,NA,NA,1,NA,NA,10,17,1,1,"Q22|Q27|Q24|F_n","Q35|Q28|Q27|Q30|Q32|Q29|Q31","41.920593261719","-87.701698303223","-1",2,2.33333333333333
"R_PA7Sf0vhd8P5V6N","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 12:17:10,2016-11-16 12:30:58,1,"86",1,1,1,4.003,54.874,77.122,9,"I am so hungry I might hunch over and pass out. I am thinking about eating something ginormous and delicious. My body aches. My stomach is churning and it feels knotty. I am hungry so hungry I could eat a horse.","",1,3,4,3,2,4,2,1,7,4,9,7,1,2,26,1,NA,1,NA,NA,NA,NA,15,16,1,1,"Q22|Q27|Q24|h_n","Q35|Q29|Q27|Q30|Q31|Q28|Q32","41.920593261719","-87.701698303223","-1",1,3.33333333333333
"R_DFXVF3TAp59B1WV","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 12:31:00,2016-11-16 12:36:47,1,"87",1,1,1,8.641,8.641,144.093,1,"im thinking that i might eat some expensive food in here. my stomach would ache and i would act grumpy. Im thinking abouty how the rest of my day is going to go","",1,4,3,3,2,4,4,1,6,7,7,3,1,1,22,1,1,NA,NA,NA,NA,NA,12,12,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q32|Q27|Q31|Q28|Q29","41.920593261719","-87.701698303223","-1",1,3.33333333333333
"R_1DqE7zExkVnuySh","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 12:37:24,2016-11-16 12:42:56,1,"88",1,1,1,12.695,12.695,116.503,1,"","If Im very full, physically my stomach would be painful and feel bloated. You could probably see my stomach expand. I'd rub my belly to make myself feel better. I would feel content for satisfying my hunger but at the same time remorse for having over-indlged. I would feel lazy. And sleepy. No energy",1,2,4,3,2,2,2,1,4,7,6,6,1,1,32,1,NA,NA,NA,1,NA,NA,3,3,1,1,"Q22|Q27|Q24|F_n","Q35|Q31|Q30|Q28|Q32|Q29|Q27","41.920593261719","-87.701698303223","-1",2,3
"R_2frZ8NX5EQX5PCT","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 12:43:24,2016-11-16 13:22:33,1,"89",1,1,1,25.863,150.719,156.582,3,"I can feel my stomach being unsettled, needing food.   I am also a bit lightheaded.    I can smell kitchen aromas and need some food to satisfy my stomach pangs.","",1,2,1,1,3,1,3,1,5,2,1,6,1,2,69,1,NA,NA,NA,1,NA,NA,1,1,1,1,"Q22|Q27|Q24|h_n","Q35|Q30|Q28|Q32|Q31|Q27|Q29","41.920593261719","-87.701698303223","-1",1,1.33333333333333
"R_2TADzrTy2GMdX8Q","Default Response Set","Anonymous","","","209.92.160.104","0",2016-11-16 13:22:37,2016-11-16 13:52:08,1,"90",1,1,1,8.883,151.353,153.851,26,"","i would be tinking i overindulged myself and am  very uncomfortable. i would probaly need to get up and walk around.",1,2,1,1,2,2,4,1,5,4,5,6,1,2,29,1,NA,NA,NA,1,NA,NA,2,2,1,1,"Q22|Q27|Q24|F_n","Q35|Q32|Q31|Q28|Q29|Q30|Q27","41.920593261719","-87.701698303223","-1",2,1.33333333333333
