"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q37","Q43","Q44","Q45","Q70","Q22","Q24_1","Q24_2","Q24_3","Q24_4","hungry","Q40","Q41_1","Q41_2","Q41_3","Q41_4","full","Q25","Q27","Q29","Q33","Q37.0","Q40.0","Q2","Q3","Q4","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q36","DO_BR_FL_47","DO_BL_nameperson","DO_BL_feelings","LocationLatitude","LocationLongitude","LocationAccuracy","condition","similarity"
"R_1DFEurqonAPPv8A","Default Response Set","Anonymous","","","71.37.219.224","0",2017-05-08 12:39:00,2017-05-08 12:41:30,1,"84415833",1,1,1,NA,"M",1,1.83,1.83,74.814,1,"Being very hungry focuses my mind on food, so what would I be thinking about? Food! My body would feel weak, shaky, my stomach would feel empty and queasy. I would be dizzy, fatigued, and unable to concentrate. I would act accordingly--I would be looking o find food to eat.  I would be criticizing myself for allowing myself to become this hungry.",NA,NA,NA,NA,NA,"",1,3,3,5,7,7,1,1,39,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q37|Q29|Q27|Q33","43.613494873047","-116.20349884033","-1",2,1
"R_SN51gcyo5j3B0id","Default Response Set","Anonymous","","","107.202.36.198","0",2017-05-08 12:36:09,2017-05-08 12:41:30,1,"80152694",1,1,1,NA,"Kent",NA,NA,NA,NA,NA,"",1,39.14,39.14,128.7,1,"I would be tired and sleepy. I may need to use the bathroom and possibly take a walk afterwards.",1,3,6,5,4,8,1,1,39,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q37|Q27|Q29|Q33","34.76530456543","-82.563499450684","-1",1,1
"R_3oTSUwweu1LVQP9","Default Response Set","Anonymous","","","96.233.108.151","0",2017-05-08 12:38:40,2017-05-08 12:41:34,1,"82093222",1,1,1,NA,"Judith",1,1.657,52.358,61.374,5,"I would feel very tired and dizzy.  I would feel irritated.  I would feel very weak.",NA,NA,NA,NA,NA,"",1,3,1,6,9,7,1,2,39,2,NA,1,NA,NA,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q29|Q37|Q33|Q27","42.426300048828","-71.454200744629","-1",2,1
"R_cvhUtGXTQH1Y6g9","Default Response Set","Anonymous","","","108.49.151.197","0",2017-05-08 12:38:11,2017-05-08 12:41:36,1,"88072522",1,1,1,NA,"Kevin",NA,NA,NA,NA,NA,"",1,2.071,104.322,106.513,6,"I would be thinking about why I ate so much!  I would be upset with myself and I would be very tired.  Most likely I would change into pj's and take a nap o the couch.  My stomach hurts and I really wish I didn't eat so much!",1,5,6,6,5,9,1,2,49,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q37|Q33|Q27|Q29","42.658996582031","-71.448402404785","-1",1,1
"R_21ai9WvSbVCFLBn","Default Response Set","Anonymous","","","209.236.82.154","0",2017-05-08 12:38:35,2017-05-08 12:41:40,1,"84580807",1,1,NA,1,"JOSH",1,12.796,12.796,70.414,1,"MY BODY WANTS FOOD THAT IS HEALTHY.  I FEEL HUNGER PANGS AND REALLY WOULD LIKE TO EAT NOW.",NA,NA,NA,NA,NA,"",1,7,4,7,7,1,1,1,74,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q29|Q37|Q27|Q33","37.943603515625","-104.84660339355","-1",2,2
"R_3dEOYExSS8ikAnk","Default Response Set","Anonymous","","","174.34.184.130","0",2017-05-08 12:38:31,2017-05-08 12:41:57,1,"88859893",1,1,1,NA,"Jacob",NA,NA,NA,NA,NA,"",1,14.338,14.338,71.244,1,"IF I was very full I would be sluggish and unwilling to do anything either mentally or physically, then I gradually move towards a comfortable state unless I was really full",1,3,3,6,3,7,1,1,24,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q33|Q37|Q29|Q27","41.848297119141","-87.651702880859","-1",1,1
"R_1dNr40G4VId2U5B","Default Response Set","Anonymous","","","174.102.23.90","0",2017-05-08 12:38:37,2017-05-08 12:42:01,1,"83332309",1,1,1,NA,"Cherie",NA,NA,NA,NA,NA,"",1,3.543,3.729,62.096,2,"I would be feeling regret that I ate so much.  I would be feeling sleepy and like I had no energy.  I would sit down and put on a simple television show that didn't require thought.  I would think that my next meal should be very small.",1,2,6,6,4,3,1,2,37,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q27|Q29|Q37|Q33","39.686904907227","-84.164100646973","-1",1,1
"R_3kk92bDKNQEwLyp","Default Response Set","Anonymous","","","108.59.221.8","0",2017-05-08 12:37:26,2017-05-08 12:42:05,1,"86895002",1,1,NA,1,"matt",NA,NA,NA,NA,NA,"",1,1.276,1.276,175.559,1,"i'd be thinking about when i'd stop feeling so full and when the pain from it would go away. i'd mostly sit still and do my best to avoid moving too much so i'd probably sit at my computer or watch tv, avoiding doing any work that would make me feel worse",1,5,6,6,4,3,1,1,24,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q37|Q27|Q29|Q33","33.784805297852","-83.67310333252","-1",1,2
"R_33xQXhcNJKT1lfi","Default Response Set","Anonymous","","","108.171.130.168","0",2017-05-08 12:39:07,2017-05-08 12:42:05,1,"82264672",1,1,1,NA,"Karl",NA,NA,NA,NA,NA,"",1,0.749,0.749,77.428,1,"I would feel very lethargic and not have the energy to do anything.  If I tried to move around, my stomach would feel pain and I would have to sit down.  I think I would definitely feel regret about eating as much as I did.  I would wish that I had stoppe eating at a reasonable amount of food so that I could have more energy.",1,4,2,6,2,8,1,1,36,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q27|Q29|Q33|Q37","40.78010559082","-74.063301086426","-1",1,1
"R_22QbW8b0T2ecZjc","Default Response Set","Anonymous","","","73.194.189.44","0",2017-05-08 12:37:37,2017-05-08 12:42:07,1,"87129018",1,1,NA,1,"John",1,1.008,1.008,72.442,1,"When I'm very hungry my stomach is usually rumbling. I start to feel weak and tired. All I can do is think about food. I would want to go get food as soon as possible.",NA,NA,NA,NA,NA,"",1,6,7,5,4,4,1,1,44,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q33|Q29|Q27","39.764602661133","-74.287803649902","-1",2,2
"R_1QyGrYflJoomQe7","Default Response Set","Anonymous","","","67.60.217.44","0",2017-05-08 12:38:40,2017-05-08 12:42:07,1,"80035647",1,1,1,NA,"Diana",NA,NA,NA,NA,NA,"",1,11.76,13.277,115.775,2,"I just got full from eating a very large meal. There are some times that being full does not bother me but other times it's completely different. When I am full sometimes, I become very bloated and my body will also become very tired. I will just probablylay down until it passes. Being full causes fatigue.",1,8,8,6,8,8,1,2,31,1,1,NA,NA,NA,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q33|Q37|Q29|Q27","33.756805419922","-90.729698181152","-1",1,1
"R_3MzBkCLqK5XQAhJ","Default Response Set","Anonymous","","","128.113.63.179","0",2017-05-08 12:39:24,2017-05-08 12:42:27,1,"85509252",1,1,NA,1,"Mic",NA,NA,NA,NA,NA,"",1,8.392,8.392,86.132,1,"I feel like I can't get up off the chair and my stomach is distended and aching. I ate way too much. All I want to do is lay down and go to sleep. I hate myself when I lose control of my eating this way.",1,5,5,2,8,6,1,2,53,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q37|Q29|Q27|Q33","42.749496459961","-73.595100402832","-1",1,2
"R_3g1JRfcmEQFEney","Default Response Set","Anonymous","","","63.207.227.69","0",2017-05-08 12:38:52,2017-05-08 12:42:30,1,"86997418",1,1,NA,1,"Alex",NA,NA,NA,NA,NA,"",1,1.758,5.72,71.715,2,"If I were very full right now I would not feel like moving. I would want to sit or lie down and wait till the feeling subsided. I would be thinking about the fact that I may have eaten a little too much and should probably have stopped sooner.",1,6,6,4,4,4,1,1,31,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q29|Q27|Q37|Q33","39.744201660156","-121.83889770508","-1",1,2
"R_1LLv1zWICsLH4Bc","Default Response Set","Anonymous","","","69.16.145.168","0",2017-05-08 12:39:13,2017-05-08 12:42:40,1,"85875196",1,1,NA,1,"Rory",1,7.105,54.873,119.228,3,"I am so hungry I can focus. I can't think of anything else. I want a full-sized cheeseburger with fries. I need calories. I will be sluggish until my stomach is full. I only want to eat something right now, anything. I think I will go and lay down until tese hunger pains pass. What will I have for dinner? Do I have stuff in the fridge for later? What did you have this morning for breakfast? Do you have any left?",NA,NA,NA,NA,NA,"",1,4,6,3,5,3,1,1,41,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q27|Q33|Q37|Q29","33.50830078125","-112.0717010498","-1",2,2
"R_2OJUzND32gExnUl","Default Response Set","Anonymous","","","173.165.24.85","0",2017-05-08 12:40:58,2017-05-08 12:42:44,1,"82898525",1,1,NA,1,"Justin",1,3.352,62.066,62.324,5,"I would be moody. I would be thinking about McDonald's. I would feel weak and snap at anyone who came in my presence. I would run to the store and grab a bunch of candy from the candy aisle.",NA,NA,NA,NA,NA,"",1,9,9,1,9,9,1,1,23,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q33|Q29|Q27","41.928802490234","-87.631500244141","-1",2,2
"R_25uz9Y5jMRCyLWS","Default Response Set","Anonymous","","","38.105.228.7","0",2017-05-08 12:40:36,2017-05-08 12:42:51,1,"80984304",1,1,1,NA,"David",NA,NA,NA,NA,NA,"",1,0.836,85.113,85.369,3,"I would be out of energy. I would think about eating all the time. I would feel weak, and probably agitated. My temper would be short.",1,7,6,5,4,8,1,1,30,1,NA,1,NA,NA,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q29|Q37|Q33|Q27","40.645095825195","-73.944999694824","-1",1,1
"R_3ekqjOFBM5r4Y6F","Default Response Set","Anonymous","","","74.101.211.232","0",2017-05-08 12:41:20,2017-05-08 12:43:13,1,"81522301",1,1,NA,1,"jadine",NA,NA,NA,NA,NA,"",1,1.036,31.651,61.89,3,"I would feel very uncomfortable and tired. I would most likely fall asleep and still wake up feeling uncomfortable",1,4,6,5,7,2,1,1,26,1,1,NA,NA,NA,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q33|Q37|Q29|Q27","40.657806396484","-73.671997070312","-1",1,2
"R_1mw7o7c33hDRwLX","Default Response Set","Anonymous","","","104.35.170.65","0",2017-05-08 12:39:46,2017-05-08 12:43:18,1,"84269443",1,1,1,NA,"Rick",1,14.584,14.584,109.362,1,"I would be thinking about what I want to eat and how long it will take me to make it. My stomach would be growling and I would feel a bit dizzy and light headed, possible even have a headache. I would be a bit on edge and annoyed. I would want to eat ASAP",NA,NA,NA,NA,NA,"",1,4,2,5,3,8,1,2,53,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q37|Q27|Q29|Q33","34.153900146484","-117.99189758301","-1",2,1
"R_2AQG0RuK9SEV4lY","Default Response Set","Anonymous","","","24.63.74.238","0",2017-05-08 12:38:47,2017-05-08 12:43:34,1,"84239516",1,1,NA,1,"matt",1,3.89,52.744,217.263,3,"i would be thinking about food. my body would feel tired and my stomach empty.  i would probably act hungry.  i sometimes get tired if i do not eat regularly and sometimes even irritated.",NA,NA,NA,NA,NA,"",1,5,5,5,5,6,1,1,30,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q27|Q33|Q37|Q29","41.549697875977","-72.653099060059","-1",2,2
"R_3gYP3TANnkVbqIT","Default Response Set","Anonymous","","","166.181.82.111","0",2017-05-08 12:39:12,2017-05-08 12:43:57,1,"85052960",1,1,1,NA,"Jen",1,5.561,130.045,160.861,2,"I would be fixated on food and unable to concentrate on what I was supposed to be doing. I would be imagining different foods and thinking about where to go to procure them. My stomach would be rumbling and my salivary glands would be watering as I though about eating something. I would begin to get a headache from low blood sugar. My cravings for food would be overwhelming and I would feel irritable. Little things that normally are easy to do would become a huge effort and I would be easily bothered by pople. When I was finally able to get some food, I would feel immense relief and happiness.",NA,NA,NA,NA,NA,"",1,2,7,8,6,7,1,2,48,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q37|Q27|Q33|Q29","42.431304931641","-90.63459777832","-1",2,1
"R_3HGtbZzU0fxDMki","Default Response Set","Anonymous","","","66.169.60.23","0",2017-05-08 12:40:35,2017-05-08 12:44:02,1,"81084720",1,1,NA,1,"Jarret",NA,NA,NA,NA,NA,"",1,20.899,20.899,76.808,1,"If I were very full, I can imagine having been presented witha lot of food and either eating it out of obligation or simply because I wanted to taste it all. It would quickly lead to regret and feeling bloated.",1,7,6,8,8,2,1,2,23,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q29|Q37|Q33|Q27","35.099395751953","-81.704803466797","-1",1,2
"R_3FOGvlr2Ve82CNQ","Default Response Set","Anonymous","","","104.228.125.10","0",2017-05-08 12:37:51,2017-05-08 12:44:12,1,"88585723",1,1,NA,1,"Stacey",NA,NA,NA,NA,NA,"",1,1.599,1.599,188.477,1,"I would feel tired from being full. I would want to sit or lay down. I would be moving slowly.  I would feel a little sick.",1,6,5,6,5,3,1,2,27,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q37|Q33|Q27|Q29","42.486694335938","-75.039703369141","-1",1,2
"R_3n1QesGwm8tRZkK","Default Response Set","Anonymous","","","71.197.116.253","0",2017-05-08 12:38:40,2017-05-08 12:44:13,1,"80535154",1,1,1,NA,"Kal",1,0.955,0.955,61.42,1,"I would be thinking about what I wanted to eat. I would be somewhat irritable and my stomach would definitely be rumbling. I would be somewhat high strung until I get some food in my system.",NA,NA,NA,NA,NA,"",1,3,3,5,3,7,1,1,21,1,1,NA,NA,NA,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q37|Q33|Q29|Q27","38.583099365234","-121.49209594727","-1",2,1
"R_1hSHUErbkHDXahn","Default Response Set","Anonymous","","","174.25.8.161","0",2017-05-08 12:36:06,2017-05-08 12:44:28,1,"82232559",1,1,1,NA,"Richelle",1,2.958,100.312,143.204,5,"I am thinking about being hungry.  There is no detail.  it is one thing to think about.  I feel fine.  I suppose I would act hungry.",NA,NA,NA,NA,NA,"",1,5,5,5,5,7,1,1,49,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q27|Q33|Q29|Q37","45.547897338867","-122.50149536133","-1",2,1
"R_3EEgj2Rmh4j2CMV","Default Response Set","Anonymous","","","70.185.214.150","0",2017-05-08 12:37:53,2017-05-08 12:44:28,1,"86313142",1,1,1,NA,"Meghan",1,1.265,142.352,174.966,2,"I couldn't stop thinking about food and what I might be able to eat as soon as possible. My stomach would be giving out audible sounds. I would feel a little weak. I wouldn't be able to sleep because I would need to eat first. I would be really alert to ieas about eating and smells of food.",NA,NA,NA,NA,NA,"",1,6,7,4,3,9,1,2,35,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q27|Q33|Q29|Q37","36.146697998047","-95.955497741699","-1",2,1
"R_cAzNpfQ7ifgMIFj","Default Response Set","Anonymous","","","65.96.111.184","0",2017-05-08 12:42:22,2017-05-08 12:44:32,1,"83891659",1,1,1,NA,"Jame",1,1.548,1.548,62.673,1,"I am really very hungry. My stomach is growling. I feel weak and light headed. I may faint. I need to eat something pronto. I don't know how much longer I can hold out like this. My stomach feels hollow. My legs are trembling beneath me.",NA,NA,NA,NA,NA,"",1,6,7,5,7,7,1,1,45,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q33|Q27|Q29|Q37","42.382797241211","-71.095497131348","-1",2,1
"R_6FsXkEoyEkQpDUJ","Default Response Set","Anonymous","","","67.246.52.65","0",2017-05-08 12:42:32,2017-05-08 12:44:34,1,"85071601",1,1,NA,1,"Adam",1,1.712,75.463,76.702,2,"I would think that I am hungry. My body would feel hungry. I would eat some food.",NA,NA,NA,NA,NA,"",1,5,5,5,5,3,1,1,23,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q27|Q33|Q29","42.618896484375","-73.706497192383","-1",2,2
"R_1Kv8TpQfwflQDOT","Default Response Set","Anonymous","","","98.219.11.94","0",2017-05-08 12:38:07,2017-05-08 12:44:37,1,"88689896",1,1,NA,1,"Bally",1,3.011,3.011,69.616,1,"When I am hungry, I start feeling annoyed. Things that would otherwise have no negative impact on me, start bothering me. And its usually the little things.",NA,NA,NA,NA,NA,"",1,5,5,5,5,4,1,2,40,1,NA,1,NA,NA,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q27|Q29|Q33","34.055999755859","-84.379501342773","-1",2,2
"R_3NPLrXwlYx6n2Sr","Default Response Set","Anonymous","","","68.250.117.122","0",2017-05-08 12:41:59,2017-05-08 12:44:46,1,"84452453",1,1,1,NA,"Brenda",NA,NA,NA,NA,NA,"",1,2.375,55.181,89.58,3,"I would feel very lethargic and tired.  I would probably go over in my mind how I plan to eat and drink for the rest of the week, and plan a bit harder of a workout routine to compensate for the very full feeling I'm currently experiencing.  I probably woldn't feel too great about myself at the moment.  I might be a little grumpy or moody.",1,3,4,3,2,7,1,2,31,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q27|Q33|Q37|Q29","41.626998901367","-88.204002380371","-1",1,1
"R_1C8A6kQbyr6Xn65","Default Response Set","Anonymous","","","174.60.204.104","0",2017-05-08 12:42:47,2017-05-08 12:44:53,1,"83959626",1,1,NA,1,"Robert",NA,NA,NA,NA,NA,"",1,1.067,1.067,66.195,1,"When I am feeling full I don't want to eat more and in fact I my feel like throwing up if it's too severe.  I would likely feel horrible and possibly even sick",1,2,4,3,3,2,1,1,44,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q33|Q27|Q37|Q29","40.266693115234","-76.63809967041","-1",1,2
"R_2fdtldyITCPzfl6","Default Response Set","Anonymous","","","65.129.122.157","0",2017-05-08 12:43:54,2017-05-08 12:46:10,1,"85333026",1,1,1,NA,"Emily",1,2.85,6.172,67.996,3,"If I were very hungry, I would not be thinking about anything different. I would feel physically hungry. I would not act any different. I would not have any particular thoughts or feelings about hunger and would continue to work until my usual lunch time egardless of the feeling of hunger.",NA,NA,NA,NA,NA,"",1,6,5,6,7,8,1,3,23,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q33|Q37|Q29|Q27","43.595199584961","-116.19540405273","-1",2,1
"R_uewinkRq4EOOEcV","Default Response Set","Anonymous","","","47.152.251.26","0",2017-05-08 12:42:19,2017-05-08 12:46:19,1,"80336649",1,1,1,NA,"liz",NA,NA,NA,NA,NA,"",1,3.317,26.888,75.933,2,"i am angry and upset and do not like the feeling. my body hates it and i hat everything about it",1,7,6,7,5,7,1,2,26,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q27|Q33|Q37|Q29","34.104400634766","-117.04859924316","-1",1,1
"R_3qKwuGDR5zdCSWF","Default Response Set","Anonymous","","","46.101.45.172","0",2017-05-08 12:44:53,2017-05-08 12:47:04,1,"88710372",1,1,1,NA,"andrew",1,2.487,2.487,85.402,1,"i would be very focused on eating and not on worl or other things that are much important that time",NA,NA,NA,NA,NA,"",1,4,6,6,8,7,1,1,32,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q29|Q27|Q33|Q37","51.509201049805","-0.095504760742188","-1",2,1
"R_R2pqlnVfpTK5AFX","Default Response Set","Anonymous","","","12.150.120.34","0",2017-05-08 12:43:39,2017-05-08 12:47:06,1,"88013992",1,1,NA,1,"Gordon",NA,NA,NA,NA,NA,"",1,10.687,138.379,140.991,5,"I am so full because I just ate a ton of food at a buffet. It was all you can eat, so I felt like I had to get my money's with. I may have gone a little overboard because my stomach hurts. As a matter of fact I feel a little bit nauseous. I am so full I fel like if someone punched me in the gut, I might explode. I also feel really tired. I will probably go home and sit on the couch until I feel comfortable enough to lay down to sleep.",1,3,6,4,3,3,1,1,26,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q27|Q29|Q33|Q37","33.96809387207","-84.230400085449","-1",1,2
"R_ylvKHgXHVYDXjOh","Default Response Set","Anonymous","","","199.47.64.45","0",2017-05-08 12:42:57,2017-05-08 12:47:27,1,"86698502",1,1,1,NA,"Cindy",1,10.616,10.616,75.501,1,"When I get really hungry I usually can't concentrate, can't focus on my ideas or formulas, and I start to feel anxious/nervous to the point I feel like I'm getting really weak and I usually have to sit down.",NA,NA,NA,NA,NA,"",1,4,7,9,9,6,1,2,50,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q33|Q37|Q29|Q27","40.059799194336","-103.8583984375","-1",2,1
"R_1E0ycfvOU0VgoRq","Default Response Set","Anonymous","","","198.150.21.206","0",2017-05-08 12:45:42,2017-05-08 12:48:07,1,"82363951",1,1,NA,1,"Leigh",NA,NA,NA,NA,NA,"",1,0.828,71.612,77.745,3,"I am not in the mood for food.  I feel very satiated.  I no not want to do much and kind of just feel sleepy.  I want to sit somewhere and be comfortable.  I feel like I have low energy.  I am not thinking off much.",1,4,6,4,6,7,1,1,29,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q29|Q27|Q33|Q37","43.133102416992","-89.349098205566","-1",1,2
"R_12rpHkanP3UnRcl","Default Response Set","Anonymous","","","73.168.66.245","0",2017-05-08 12:44:30,2017-05-08 12:48:09,1,"86611040",1,1,NA,1,"Anna",NA,NA,NA,NA,NA,"",1,0.785,0.785,138.44,1,"My stomach would feel heavy.  I would be feeling sorry that I ate so much. I would be feeling tired and sluggish.",1,5,5,5,5,2,1,2,43,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q29|Q37|Q33|Q27","41.626998901367","-88.204002380371","-1",1,2
"R_1FsOU2x0FaMbC3r","Default Response Set","Anonymous","","","4.14.210.26","0",2017-05-08 12:46:42,2017-05-08 12:48:37,1,"84829935",1,1,1,NA,"John",1,0.891,0.891,61.023,1,"I think my body would feel very weak as it seeks to get energy from food.  I would get lightheaded and would crave any kind of food I can get.  All I can think about when I'm hungry is when I'm going to get food again.",NA,NA,NA,NA,NA,"",1,3,4,5,3,8,1,2,38,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q29|Q37|Q27|Q33","45.005905151367","-93.43049621582","-1",2,1
"R_1MSsQqE0VtI24ZW","Default Response Set","Anonymous","","","98.204.21.136","0",2017-05-08 12:45:12,2017-05-08 12:49:03,1,"84427370",1,1,NA,1,"elaine",1,3.175,3.175,65.58,1,"when i'm hungry i feel light headed. I don't feel like i can do much at the time until i eat. I would feel nervous until i ate. i think some people are angry, i feel more nervous. anxious. i'd want to get to some food quickly",NA,NA,NA,NA,NA,"",1,5,5,5,5,3,1,2,32,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q27|Q29|Q33|Q37","39.482192993164","-77.45760345459","-1",2,2
"R_yIItJMI9FFrqfrb","Default Response Set","Anonymous","","","96.58.28.103","0",2017-05-08 12:46:52,2017-05-08 12:49:14,1,"86086446",1,1,NA,1,"Mya",1,0.888,35.352,81.473,4,"My stomach is growling. I am so hungry it hurts and I can't stop grabbing my stomach. I need to eat something or I'm going to die",NA,NA,NA,NA,NA,"",1,5,3,5,1,3,1,1,28,1,1,NA,NA,NA,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q27|Q37|Q29|Q33","28.272201538086","-82.33219909668","-1",2,2
"R_Qp5RiFk0x5IyZ8t","Default Response Set","Anonymous","","","79.112.25.120","0",2017-05-08 12:47:37,2017-05-08 12:49:18,1,"81183436",1,1,NA,1,"alex",NA,NA,NA,NA,NA,"",1,0.56,68.79,69.176,2,"i am sleepy i guess, i would not like to do anything for that day at all...",1,6,7,3,5,7,1,1,33,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q27|Q33|Q37|Q29","47.166702270508","27.600006103516","-1",1,2
"R_1FS1aJVcRCa1CSf","Default Response Set","Anonymous","","","97.90.255.106","0",2017-05-08 12:45:53,2017-05-08 12:49:29,1,"87206686",1,1,NA,1,"Sarah",1,1.034,113.504,116.502,11,"I would be consistently be think of food. I would feel like thats all I could think about, my body would feel week and tinned because of the absents of food. Some of my primal instincts would kick in and my body would run off of more stored fats. My brainwould be somewhat sharp because of natural chemicals released in the brain during hungry.",NA,NA,NA,NA,NA,"",1,3,6,3,8,2,1,1,24,1,NA,NA,NA,1,NA,NA,1,"hungry","Q43|Q45|Q70","Q25|Q37|Q29|Q27|Q33","45.756607055664","-87.157096862793","-1",2,2
"R_2Yo0eBznuF6JhVY","Default Response Set","Anonymous","","","98.16.173.91","0",2017-05-08 12:43:13,2017-05-08 12:49:39,1,"87758565",1,1,1,NA,"Hank",1,0.69,62.256,62.953,6,"I think about being hungry and how bad I would feel, couldn't think nor sleep or just feel happy because I am so hungry and blinded by the fact I want food so bad and would do anything to get me some in my stomach to fill the hunger and relief that I needoh so bad in my life.",NA,NA,NA,NA,NA,"",1,7,6,5,6,7,1,1,22,1,1,NA,NA,NA,NA,NA,1,"hungry","Q43|Q44|Q70","Q25|Q37|Q33|Q27|Q29","31.769607543945","-84.444801330566","-1",2,1
"R_3rHV2ppaHRJqLrr","Default Response Set","Anonymous","","","190.111.243.130","0",2017-05-08 12:40:47,2017-05-08 12:49:52,1,"84901764",1,1,NA,1,"yani",NA,NA,NA,NA,NA,"",1,2.196,2.196,77.038,1,"I wouldnt be thinking about food for a while , my stomach its so big that i cant even move , and if i have to walk it would take me a while to get to a place . I would feel uncomfortable and out of breath for a little.",1,5,7,6,1,3,1,2,51,1,NA,NA,1,1,NA,NA,1,"full","Q43|Q45|Q70","Q25|Q37|Q27|Q29|Q33","-34.603302001953","-58.38159942627","-1",1,2
"R_3Hvo8It5HzBJfeh","Default Response Set","Anonymous","","","73.111.188.88","0",2017-05-08 12:47:32,2017-05-08 12:50:06,1,"84935724",1,1,1,NA,"SAM",NA,NA,NA,NA,NA,"",1,10.022,44.766,65.598,7,"I have eaten so much of food again. I feel i would die.my body feels so tense. i feel so happy",1,7,6,8,7,7,1,1,26,1,NA,1,NA,NA,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q33|Q27|Q37|Q29","41.915298461914","-88.128700256348","-1",1,1
"R_2rHktuqNCZHfPC2","Default Response Set","Anonymous","","","24.225.119.55","0",2017-05-08 12:47:51,2017-05-08 12:50:39,1,"86744201",1,1,1,NA,"Charles",NA,NA,NA,NA,NA,"",1,0.843,0.843,76.467,1,"I would be very lazy, and likely tired, when I was very full.  I'd feel bloated, full of pressure.  I'd sit or lie down and want the feeling to pass.  I'd probably feel regretful for eating as much as I did and would probably make promises not to do it agin, at least anytime soon.  I'd burp and try to release the pressure inside me.  I'd feel unattractive and uncomfortable.",1,8,3,7,6,9,1,1,39,1,NA,NA,NA,1,NA,NA,1,"full","Q43|Q44|Q70","Q25|Q29|Q33|Q27|Q37","48.146392822266","-96.176498413086","-1",1,1
