"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","mturkcode","Q39","Q41","hungry","full","Q55","Q57","Q59","Q61","Q63","Q65","Q67","Q69","Q71","Q73","Q75","Q77","Q79","Q81","Q83","Q85","Q87","Q89","Q91","Q93","Q95","Q97","Q2","Q3","Q4","Q6","Q50","DO_BR_FL_41","DO_BL_prediction","DO_BL_now","DO_BL_general","LocationLatitude","LocationLongitude","LocationAccuracy","condition","choice_now","choice_general"
"R_2BzaKAq08U9rSJv","Default Response Set","Anonymous","","","208.107.146.227","0",2017-09-05 12:31:21,2017-09-05 12:33:37,1,"884640",1,1,NA,1,1,9,9,9,9,8,1,3,4,3,6,1,9,9,8,9,8,3,2,4,2,8,1,1,20,1,1,"general|now","Q41|full","Q55|Q71|Q67|Q65|Q57|Q69|Q59|Q63|Q61|Q75|Q73","Q77|Q95|Q85|Q97|Q87|Q81|Q79|Q93|Q89|Q91|Q83","46.910598754883","-100.75879669189","-1",2,8.8,8.6
"R_25MFcZThCNKQkXu","Default Response Set","Anonymous","","","70.95.118.153","0",2017-09-05 12:30:38,2017-09-05 12:34:16,1,"806503",1,1,1,NA,1,9,8,8,6,7,7,5,8,2,7,1,7,8,7,7,7,7,4,8,3,7,1,1,64,1,1,"now|general","Q41|hungry","Q55|Q61|Q69|Q75|Q67|Q73|Q63|Q59|Q71|Q57|Q65","Q77|Q83|Q87|Q85|Q97|Q91|Q89|Q95|Q79|Q93|Q81","32.821502685547","-117.0843963623","-1",1,7.6,7.2
"R_12f3L15WZY12VEN","Default Response Set","Anonymous","","","66.169.100.212","0",2017-09-05 12:30:32,2017-09-05 12:34:18,1,"911568",1,1,1,NA,1,7,3,5,7,4,7,6,5,4,7,1,7,8,9,9,6,5,4,7,5,6,1,2,35,1,1,"now|general","Q41|hungry","Q55|Q75|Q59|Q73|Q71|Q63|Q69|Q61|Q67|Q65|Q57","Q77|Q93|Q95|Q79|Q85|Q97|Q87|Q91|Q83|Q89|Q81","32.782104492188","-97.297996520996","-1",1,5.2,7.8
"R_1KrQbQ0YI180hEo","Default Response Set","Anonymous","","","99.110.192.183","0",2017-09-05 12:30:21,2017-09-05 12:34:27,1,"807335",1,1,1,NA,1,5,4,6,5,5,7,7,4,6,6,1,6,5,3,4,4,5,7,6,6,4,1,1,29,1,1,"now|general","Q41|hungry","Q55|Q57|Q63|Q73|Q65|Q69|Q61|Q59|Q75|Q71|Q67","Q77|Q95|Q81|Q87|Q93|Q85|Q97|Q79|Q83|Q91|Q89","36.301803588867","-94.12149810791","-1",1,5,4.4
"R_30nHRTt7elsVXAK","Default Response Set","Anonymous","","","173.10.91.177","0",2017-09-05 12:28:16,2017-09-05 12:35:03,1,"826863",1,1,1,NA,1,8,9,9,9,9,4,6,4,6,7,1,4,3,4,4,4,4,6,4,4,8,1,2,31,1,1,"now|general","Q41|hungry","Q55|Q69|Q57|Q73|Q61|Q75|Q63|Q67|Q59|Q65|Q71","Q77|Q91|Q83|Q95|Q81|Q93|Q85|Q97|Q87|Q79|Q89","47.942199707031","-122.23979949951","-1",1,8.8,3.8
"R_33mpX3tsyptjLKK","Default Response Set","Anonymous","","","92.241.53.22","0",2017-09-05 12:28:40,2017-09-05 12:35:49,1,"833395",1,1,1,NA,1,9,9,9,9,9,1,9,1,5,1,1,9,9,9,9,9,3,8,2,5,1,1,2,30,1,1,"general|now","Q41|hungry","Q55|Q73|Q57|Q75|Q59|Q61|Q67|Q63|Q65|Q71|Q69","Q77|Q89|Q79|Q91|Q81|Q93|Q85|Q87|Q97|Q95|Q83","31.949996948242","35.933303833008","-1",1,9,9
"R_1luixichIfxshjp","Default Response Set","Anonymous","","","73.183.230.69","0",2017-09-05 12:30:22,2017-09-05 12:35:56,1,"780593",1,1,1,NA,1,9,9,9,9,9,6,3,5,5,4,1,5,4,7,6,3,4,4,6,5,6,1,1,25,1,1,"now|general","Q41|hungry","Q55|Q57|Q65|Q61|Q59|Q71|Q69|Q67|Q63|Q73|Q75","Q77|Q85|Q87|Q95|Q83|Q81|Q93|Q91|Q97|Q89|Q79","29.774993896484","-95.612998962402","-1",1,9,5
"R_3J96j9ltfiuyfaC","Default Response Set","Anonymous","","","107.77.223.37","0",2017-09-05 12:30:34,2017-09-05 12:36:01,1,"900655",1,1,NA,1,1,7,6,6,6,7,4,4,6,6,6,1,6,4,5,7,4,4,5,6,7,7,1,1,71,1,1,"general|now","Q41|full","Q55|Q73|Q61|Q71|Q75|Q57|Q67|Q65|Q69|Q59|Q63","Q77|Q89|Q85|Q93|Q95|Q79|Q87|Q97|Q91|Q81|Q83","40.744903564453","-73.978202819824","-1",2,6.4,5.2
"R_8Gq509Np9re3y2B","Default Response Set","Anonymous","","","68.51.41.74","0",2017-09-05 12:33:15,2017-09-05 12:36:27,1,"982548",1,1,NA,1,1,3,3,2,3,3,4,3,4,4,6,1,3,3,2,3,3,4,3,3,6,6,1,1,32,1,1,"general|now","Q41|full","Q55|Q57|Q59|Q71|Q65|Q69|Q73|Q61|Q67|Q63|Q75","Q77|Q81|Q89|Q83|Q85|Q79|Q97|Q91|Q95|Q87|Q93","39.592498779297","-86.111099243164","-1",2,2.8,2.8
"R_CZDhOhBIqB3wqVb","Default Response Set","Anonymous","","","24.160.84.195","0",2017-09-05 12:36:50,2017-09-05 12:38:00,1,"910085",1,1,NA,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,43,1,1,"general|now","Q41|full","Q55|Q61|Q63|Q65|Q73|Q75|Q67|Q71|Q69|Q57|Q59","Q77|Q91|Q93|Q85|Q81|Q79|Q87|Q97|Q83|Q89|Q95","28.215805053711","-82.659599304199","-1",2,1,1
"R_1r1wQBDXbn3GyHh","Default Response Set","Anonymous","","","64.83.250.98","0",2017-09-05 12:30:39,2017-09-05 12:38:15,1,"811759",1,1,1,NA,1,7,3,3,3,6,3,2,5,6,5,1,8,4,7,6,7,2,7,3,7,8,1,2,40,1,1,"general|now","Q41|hungry","Q55|Q63|Q69|Q73|Q71|Q59|Q65|Q75|Q57|Q61|Q67","Q77|Q79|Q91|Q83|Q85|Q95|Q81|Q93|Q89|Q97|Q87","38.597396850586","-90.007102966309","-1",1,4.4,6.4
"R_vjz8uZSm0Lt9hL3","Default Response Set","Anonymous","","","71.93.211.101","0",2017-09-05 12:37:52,2017-09-05 12:39:49,1,"836967",1,1,1,NA,1,5,4,4,3,7,6,6,7,7,8,1,7,2,3,4,7,7,6,4,8,7,1,2,45,1,1,"now|general","Q41|hungry","Q55|Q75|Q71|Q59|Q63|Q69|Q73|Q67|Q57|Q61|Q65","Q77|Q91|Q79|Q81|Q87|Q93|Q97|Q85|Q83|Q89|Q95","33.78239440918","-118.14440155029","-1",1,4.6,4.6
"R_1dc7gePMpJJfGbi","Default Response Set","Anonymous","","","199.168.151.158","0",2017-09-05 12:38:30,2017-09-05 12:39:51,1,"861685",1,1,NA,1,1,1,1,1,1,1,1,1,9,8,9,1,3,7,4,6,5,6,6,2,3,3,1,1,40,1,1,"now|general","Q41|full","Q55|Q59|Q67|Q75|Q57|Q71|Q65|Q73|Q63|Q69|Q61","Q77|Q85|Q87|Q89|Q81|Q93|Q83|Q95|Q79|Q91|Q97","40.730804443359","-73.997497558594","-1",2,1,5
"R_2SrfgBPeQY5mGwK","Default Response Set","Anonymous","","","108.23.22.28","0",2017-09-05 12:26:06,2017-09-05 12:40:48,1,"785725",1,1,1,NA,1,9,9,5,9,1,9,5,9,1,9,1,9,9,5,9,1,9,5,9,1,9,1,1,26,1,1,"general|now","Q41|hungry","Q55|Q73|Q69|Q59|Q67|Q61|Q63|Q65|Q71|Q57|Q75","Q77|Q97|Q89|Q95|Q81|Q91|Q93|Q83|Q85|Q79|Q87","34.01220703125","-117.68890380859","-1",1,6.6,6.6
"R_2q8kMQ1hCRHM6Jo","Default Response Set","Anonymous","","","72.185.14.123","0",2017-09-05 12:40:26,2017-09-05 12:42:15,1,"953923",1,1,1,NA,1,9,9,9,9,9,1,1,8,7,1,1,9,9,9,9,9,1,1,9,5,1,1,2,31,1,1,"now|general","Q41|hungry","Q55|Q71|Q75|Q69|Q67|Q61|Q59|Q65|Q63|Q73|Q57","Q77|Q89|Q81|Q97|Q93|Q91|Q85|Q87|Q79|Q83|Q95","28.934494018555","-82.472297668457","-1",1,9,9
"R_3j0ZnSlsrkPjPrB","Default Response Set","Anonymous","","","67.235.189.161","0",2017-09-05 12:37:43,2017-09-05 12:43:39,1,"887649",1,1,NA,1,1,4,5,5,5,5,5,5,5,5,5,1,5,6,6,5,5,6,5,5,6,5,1,2,27,1,1,"now|general","Q41|full","Q55|Q65|Q73|Q57|Q69|Q63|Q71|Q67|Q61|Q75|Q59","Q77|Q97|Q87|Q91|Q83|Q81|Q89|Q85|Q93|Q79|Q95","30.398101806641","-86.456298828125","-1",2,4.8,5.4
"R_4NOT3L3ApFhj6rn","Default Response Set","Anonymous","","","108.89.172.13","0",2017-09-05 12:45:13,2017-09-05 12:48:31,1,"960389",1,1,NA,1,1,2,1,2,3,3,2,6,5,3,8,1,3,2,4,4,3,2,6,6,3,6,1,1,36,1,1,"general|now","Q41|full","Q55|Q71|Q57|Q63|Q67|Q65|Q73|Q75|Q69|Q61|Q59","Q77|Q95|Q89|Q79|Q85|Q91|Q97|Q87|Q81|Q83|Q93","34.417999267578","-118.56620025635","-1",2,2.2,3.2
"R_3iIir0XFVuvGv1a","Default Response Set","Anonymous","","","66.76.210.149","0",2017-09-05 12:36:13,2017-09-05 12:48:45,1,"958686",1,1,1,NA,1,9,9,9,9,9,1,8,7,5,1,1,9,9,9,9,9,1,7,8,5,1,1,1,40,1,1,"now|general","Q41|hungry","Q55|Q75|Q71|Q59|Q69|Q63|Q65|Q73|Q57|Q67|Q61","Q77|Q93|Q97|Q95|Q89|Q79|Q83|Q81|Q87|Q85|Q91","30.567001342773","-96.283699035645","-1",1,9,9
"R_DHTuVx1MNj0eoLv","Default Response Set","Anonymous","","","160.3.12.25","0",2017-09-05 12:50:40,2017-09-05 12:52:51,1,"781772",1,1,NA,1,1,2,3,3,3,2,4,5,6,3,6,1,2,3,2,3,3,4,5,6,3,6,1,1,37,1,1,"general|now","Q41|full","Q55|Q71|Q63|Q61|Q59|Q57|Q69|Q65|Q67|Q73|Q75","Q77|Q81|Q97|Q83|Q79|Q89|Q85|Q91|Q95|Q93|Q87","32.703796386719","-109.65579986572","-1",2,2.6,2.6
"R_6JWU3Y0kpfC0h9v","Default Response Set","Anonymous","","","32.213.48.207","0",2017-09-05 12:51:46,2017-09-05 12:53:00,1,"949701",1,1,NA,1,1,1,9,8,8,1,2,2,2,2,8,1,1,9,7,9,2,1,1,1,2,1,1,1,32,1,1,"now|general","Q41|full","Q55|Q71|Q75|Q63|Q61|Q69|Q67|Q57|Q73|Q59|Q65","Q77|Q89|Q83|Q95|Q87|Q93|Q91|Q79|Q97|Q81|Q85","41.230499267578","-73.125701904297","-1",2,5.4,5.6
"R_2TuedLZe2aYZhlb","Default Response Set","Anonymous","","","173.17.232.105","0",2017-09-05 12:52:35,2017-09-05 12:54:43,1,"925934",1,1,1,NA,1,8,6,7,8,7,5,2,2,5,7,1,8,7,8,8,7,5,3,3,5,8,1,2,26,1,1,"now|general","Q41|hungry","Q55|Q61|Q65|Q75|Q63|Q73|Q69|Q67|Q59|Q71|Q57","Q77|Q83|Q97|Q81|Q85|Q89|Q87|Q95|Q93|Q91|Q79","42.456893920898","-92.315002441406","-1",1,7.2,7.6
"R_2o6fyANq1aip4g9","Default Response Set","Anonymous","","","172.81.154.118","0",2017-09-05 12:27:59,2017-09-05 12:58:02,1,"899395",1,1,1,NA,1,9,9,9,9,9,4,1,4,5,4,1,9,9,9,9,9,5,1,5,5,5,1,2,30,1,1,"general|now","Q41|hungry","Q55|Q73|Q65|Q57|Q63|Q71|Q59|Q67|Q75|Q69|Q61","Q77|Q87|Q91|Q83|Q85|Q95|Q97|Q89|Q93|Q81|Q79","47.571594238281","-122.33270263672","-1",1,9,9
"R_10I83Glr6RzB5jk","Default Response Set","Anonymous","","","73.128.105.17","0",2017-09-05 12:55:03,2017-09-05 12:58:29,1,"976251",1,1,1,NA,1,9,9,9,9,9,5,3,5,7,6,1,5,9,3,9,8,1,2,9,9,7,1,2,37,1,1,"now|general","Q41|hungry","Q55|Q59|Q61|Q73|Q67|Q69|Q63|Q71|Q65|Q57|Q75","Q77|Q87|Q81|Q95|Q85|Q91|Q97|Q83|Q89|Q93|Q79","39.012496948242","-75.605102539062","-1",1,9,6.8
"R_yE1v5yORGKvRRZL","Default Response Set","Anonymous","","","190.192.123.20","0",2017-09-05 12:32:55,2017-09-05 13:00:33,1,"924548",1,1,NA,1,1,1,1,9,1,1,9,1,5,9,1,1,9,9,9,1,1,9,1,5,9,1,1,2,22,1,1,"general|now","Q41|full","Q55|Q65|Q71|Q61|Q73|Q59|Q63|Q57|Q75|Q69|Q67","Q77|Q89|Q87|Q91|Q83|Q85|Q95|Q79|Q97|Q81|Q93","-34.603302001953","-58.38159942627","-1",2,2.6,5.8
"R_3peZvw9BspzOwaK","Default Response Set","Anonymous","","","104.52.25.66","0",2017-09-05 12:58:52,2017-09-05 13:02:59,1,"796742",1,1,1,NA,1,8,9,9,8,8,2,8,9,3,9,1,8,9,9,8,8,9,9,9,3,9,1,2,42,1,1,"now|general","Q41|hungry","Q55|Q65|Q61|Q73|Q59|Q57|Q75|Q71|Q67|Q63|Q69","Q77|Q87|Q85|Q91|Q79|Q89|Q97|Q81|Q93|Q83|Q95","34.168304443359","-118.37300109863","-1",1,8.4,8.4
"R_2tbr3xaP5hFDCQH","Default Response Set","Anonymous","","","76.177.194.170","0",2017-09-05 13:07:44,2017-09-05 13:08:42,1,"813535",1,1,NA,1,1,5,6,4,6,4,7,6,6,6,6,1,4,4,4,5,3,5,6,4,3,5,1,2,30,1,1,"now|general","Q41|full","Q55|Q57|Q75|Q61|Q63|Q69|Q67|Q59|Q71|Q73|Q65","Q77|Q93|Q81|Q83|Q87|Q79|Q97|Q85|Q95|Q91|Q89","37.645401000977","-84.817100524902","-1",2,5,4
"R_2E03dHErlU1cxt7","Default Response Set","Anonymous","","","24.181.186.84","0",2017-09-05 13:06:48,2017-09-05 13:09:42,1,"996071",1,1,1,NA,1,5,4,1,7,5,1,5,6,7,8,1,2,2,2,8,9,1,7,8,7,8,1,1,27,1,1,"general|now","Q41|hungry","Q55|Q63|Q69|Q71|Q73|Q59|Q75|Q61|Q65|Q67|Q57","Q77|Q95|Q79|Q93|Q87|Q85|Q91|Q97|Q81|Q83|Q89","44.745407104492","-73.462799072266","-1",1,4.4,4.6
"R_1Q0kgX95xCpnhjO","Default Response Set","Anonymous","","","70.122.201.27","0",2017-09-05 13:10:10,2017-09-05 13:12:40,1,"996339",1,1,1,NA,1,9,9,1,8,9,8,2,1,1,9,1,9,9,1,7,9,7,2,1,7,9,1,2,26,1,1,"general|now","Q41|hungry","Q55|Q65|Q75|Q61|Q59|Q67|Q57|Q69|Q63|Q73|Q71","Q77|Q89|Q79|Q85|Q91|Q95|Q93|Q87|Q81|Q83|Q97","32.958801269531","-96.981201171875","-1",1,7.2,7
"R_2foLeW8PrH5rOoO","Default Response Set","Anonymous","","","108.46.76.91","0",2017-09-05 13:01:31,2017-09-05 13:13:32,1,"786652",1,1,NA,1,1,7,4,6,4,6,7,5,8,5,7,1,6,4,3,3,4,5,7,8,7,6,1,1,26,1,1,"general|now","Q41|full","Q55|Q69|Q67|Q57|Q71|Q73|Q63|Q59|Q75|Q61|Q65","Q77|Q95|Q93|Q83|Q97|Q87|Q85|Q91|Q89|Q79|Q81","40.602401733398","-73.763702392578","-1",2,5.4,4
"R_9H1xXwQm7RbfXt7","Default Response Set","Anonymous","","","67.173.96.11","0",2017-09-05 13:11:55,2017-09-05 13:13:39,1,"885868",1,1,1,NA,1,9,9,9,9,9,1,1,9,1,1,1,9,9,9,9,9,4,4,7,4,4,1,2,22,1,1,"general|now","Q41|hungry","Q55|Q71|Q63|Q65|Q59|Q69|Q75|Q73|Q61|Q57|Q67","Q77|Q85|Q97|Q83|Q91|Q81|Q93|Q87|Q89|Q95|Q79","40.109497070312","-88.212303161621","-1",1,9,9
"R_3KvhqVPpYPtbOdw","Default Response Set","Anonymous","","","172.9.55.116","0",2017-09-05 12:26:00,2017-09-05 13:13:50,1,"991297",1,1,NA,1,1,5,4,4,8,8,5,5,5,5,5,1,5,9,9,9,8,5,5,5,1,5,1,2,31,1,1,"general|now","Q41|full","Q55|Q75|Q65|Q63|Q71|Q67|Q61|Q57|Q73|Q69|Q59","Q77|Q81|Q91|Q89|Q85|Q93|Q95|Q97|Q83|Q87|Q79","42.186996459961","-88.346496582031","-1",2,5.8,8
"R_bqDlScQEluwUs0x","Default Response Set","Anonymous","","","207.244.79.137","0",2017-09-05 13:09:34,2017-09-05 13:14:41,1,"809838",1,1,1,NA,1,7,4,7,7,6,3,3,6,6,6,1,7,4,3,6,6,3,3,6,6,6,1,1,73,1,1,"general|now","Q41|hungry","Q55|Q71|Q73|Q75|Q59|Q65|Q63|Q61|Q69|Q67|Q57","Q77|Q95|Q79|Q97|Q89|Q91|Q85|Q83|Q93|Q87|Q81","38.770095825195","-77.632102966309","-1",1,6.2,5.2
"R_2AMhwPHRbmoixNe","Default Response Set","Anonymous","","","172.113.145.187","0",2017-09-05 13:11:46,2017-09-05 13:15:05,1,"940725",1,1,NA,1,1,1,5,9,9,1,5,5,1,5,5,1,9,5,9,9,1,5,5,1,5,2,1,2,26,1,1,"general|now","Q41|full","Q55|Q69|Q75|Q57|Q71|Q67|Q59|Q73|Q61|Q63|Q65","Q77|Q81|Q89|Q87|Q95|Q97|Q85|Q91|Q93|Q79|Q83","33.840805053711","-118.07899475098","-1",2,5,6.6
"R_3h3mk2m1HBCT5jb","Default Response Set","Anonymous","","","173.239.240.172","0",2017-09-05 13:10:43,2017-09-05 13:18:46,1,"955697",1,1,NA,1,1,3,6,5,7,4,3,4,4,4,4,1,6,6,7,7,6,3,3,3,4,4,1,2,33,1,1,"general|now","Q41|full","Q55|Q67|Q63|Q73|Q69|Q75|Q61|Q59|Q57|Q65|Q71","Q77|Q89|Q95|Q81|Q91|Q85|Q83|Q97|Q93|Q87|Q79","41.848297119141","-87.651702880859","-1",2,5,6.4
"R_vHyBACl5mjrlZjr","Default Response Set","Anonymous","","","67.60.236.7","0",2017-09-05 13:16:48,2017-09-05 13:19:15,1,"912464",1,1,NA,1,1,7,1,4,3,6,6,2,3,3,8,1,9,3,3,9,1,7,2,5,5,6,1,2,31,1,1,"now|general","Q41|full","Q55|Q69|Q75|Q71|Q73|Q57|Q65|Q61|Q67|Q63|Q59","Q77|Q87|Q91|Q83|Q93|Q97|Q89|Q81|Q95|Q85|Q79","37.751007080078","-97.821998596191","-1",2,4.2,5
"R_1ptJVrFGy1Z4IFO","Default Response Set","Anonymous","","","74.199.20.162","0",2017-09-05 13:18:17,2017-09-05 13:22:09,1,"869296",1,1,1,NA,1,4,5,4,4,7,5,4,6,5,5,1,6,6,6,6,5,5,6,6,6,7,1,2,36,1,1,"general|now","Q41|hungry","Q55|Q69|Q61|Q59|Q67|Q63|Q75|Q57|Q65|Q71|Q73","Q77|Q83|Q91|Q89|Q93|Q87|Q85|Q79|Q95|Q81|Q97","40.085296630859","-82.975196838379","-1",1,4.8,5.8
"R_3qJXa1bgLbspWZZ","Default Response Set","Anonymous","","","174.105.18.207","0",2017-09-05 13:22:02,2017-09-05 13:24:20,1,"964198",1,1,1,NA,1,6,6,6,6,6,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,35,1,1,"now|general","Q41|hungry","Q55|Q59|Q65|Q75|Q57|Q61|Q63|Q67|Q69|Q71|Q73","Q77|Q91|Q83|Q97|Q81|Q93|Q95|Q85|Q79|Q87|Q89","39.964096069336","-83.084602355957","-1",1,6,5
"R_pbnKX8fVVhH3xPX","Default Response Set","Anonymous","","","24.187.223.102","0",2017-09-05 13:26:57,2017-09-05 13:28:40,1,"921504",1,1,NA,1,1,1,1,1,1,1,8,1,3,8,2,1,3,1,1,1,2,7,1,3,7,2,1,1,34,1,1,"general|now","Q41|full","Q55|Q73|Q59|Q75|Q63|Q57|Q69|Q67|Q61|Q71|Q65","Q77|Q89|Q93|Q87|Q83|Q79|Q95|Q97|Q91|Q85|Q81","40.896301269531","-74.151298522949","-1",2,1,1.6
"R_2rxvMnun31ZCudT","Default Response Set","Anonymous","","","173.93.84.103","0",2017-09-05 13:45:46,2017-09-05 13:47:41,1,"905605",1,1,NA,1,1,3,5,3,4,3,3,6,5,5,5,1,3,4,6,4,3,7,5,4,5,3,1,2,34,1,1,"now|general","Q41|full","Q55|Q67|Q59|Q69|Q65|Q71|Q63|Q57|Q61|Q73|Q75","Q77|Q85|Q93|Q83|Q79|Q97|Q91|Q87|Q95|Q89|Q81","34.148406982422","-77.861999511719","-1",2,3.6,4
"R_2Xo0Ubq8crM0Fev","Default Response Set","Anonymous","","","173.20.149.186","0",2017-09-05 13:48:36,2017-09-05 13:52:35,1,"917429",1,1,1,NA,1,7,6,7,7,7,5,4,6,6,3,1,6,6,8,7,7,5,4,6,6,5,1,2,26,1,1,"general|now","Q41|hungry","Q55|Q57|Q73|Q61|Q69|Q67|Q75|Q63|Q71|Q65|Q59","Q77|Q87|Q97|Q85|Q91|Q81|Q89|Q93|Q83|Q95|Q79","41.641906738281","-91.461700439453","-1",1,6.8,6.8
"R_ThBa7KVKIq1bOkV","Default Response Set","Anonymous","","","172.90.55.35","0",2017-09-05 14:12:14,2017-09-05 14:12:48,1,"947399",1,1,NA,1,1,6,2,5,5,4,6,8,8,6,2,1,8,5,2,3,4,6,4,7,4,5,1,1,22,1,1,"now|general","Q41|full","Q55|Q61|Q71|Q59|Q63|Q73|Q57|Q75|Q69|Q67|Q65","Q77|Q93|Q97|Q81|Q79|Q85|Q91|Q89|Q95|Q87|Q83","33.816101074219","-117.97940063477","-1",2,4.4,4.4
"R_RJFXqzGWEz5zMjv","Default Response Set","Anonymous","","","173.245.66.71","0",2017-09-05 16:03:52,2017-09-05 16:07:42,1,"867778",1,1,NA,1,1,6,5,5,5,4,6,6,6,5,6,1,6,5,4,4,4,4,6,4,6,5,1,1,34,1,1,"now|general","Q41|full","Q55|Q71|Q65|Q73|Q57|Q59|Q69|Q63|Q67|Q75|Q61","Q77|Q79|Q97|Q95|Q81|Q83|Q93|Q89|Q91|Q87|Q85","37.33869934082","-121.89140319824","-1",2,5,4.6
"R_278qq4h9Q9gef4v","Default Response Set","Anonymous","","","70.106.212.125","0",2017-09-06 12:34:16,2017-09-06 12:34:49,1,"934749",1,1,1,NA,1,6,5,4,4,6,6,5,5,5,5,1,5,5,5,4,5,6,6,6,6,6,1,1,22,1,1,"now|general","Q41|hungry","Q55|Q73|Q65|Q61|Q75|Q67|Q69|Q57|Q63|Q71|Q59","Q77|Q85|Q81|Q87|Q93|Q97|Q91|Q79|Q89|Q95|Q83","39.018005371094","-77.539001464844","-1",1,5,4.8
"R_3rMbm0Tmyvfa44R","Default Response Set","Anonymous","","","216.66.74.22","0",2017-09-06 12:35:02,2017-09-06 12:37:01,1,"902145",1,1,1,NA,1,8,8,8,7,7,2,8,5,2,7,1,7,7,7,6,6,4,7,4,4,7,1,2,30,1,1,"general|now","Q41|hungry","Q55|Q75|Q71|Q61|Q73|Q57|Q69|Q67|Q65|Q59|Q63","Q77|Q97|Q83|Q95|Q89|Q79|Q87|Q81|Q93|Q85|Q91","31.628601074219","-97.098899841309","-1",1,7.6,6.6
"R_1OPLrGflKr9CAvo","Default Response Set","Anonymous","","","129.22.1.19","0",2017-09-06 12:36:42,2017-09-06 12:37:38,1,"935644",1,1,1,NA,1,8,9,8,9,8,5,3,6,6,8,1,7,7,6,5,6,4,5,4,6,6,1,1,19,1,1,"general|now","Q41|hungry","Q55|Q57|Q75|Q65|Q73|Q59|Q67|Q69|Q61|Q63|Q71","Q77|Q85|Q87|Q93|Q89|Q79|Q83|Q81|Q97|Q95|Q91","41.507400512695","-81.60530090332","-1",1,8.4,6.2
"R_cGRaqlo82Fmcdjz","Default Response Set","Anonymous","","","68.231.244.17","0",2017-09-06 12:37:07,2017-09-06 12:39:14,1,"975689",1,1,1,NA,1,9,9,9,9,9,6,3,7,7,5,1,5,5,5,6,4,5,5,7,5,5,1,2,23,1,1,"now|general","Q41|hungry","Q55|Q73|Q75|Q63|Q57|Q69|Q59|Q61|Q65|Q67|Q71","Q77|Q83|Q95|Q81|Q91|Q97|Q89|Q93|Q79|Q87|Q85","36.85710144043","-75.989501953125","-1",1,9,5
"R_2SddEwmeEUmv605","Default Response Set","Anonymous","","","68.63.104.18","0",2017-09-06 12:39:33,2017-09-06 12:43:17,1,"949673",1,1,NA,1,1,7,6,2,6,5,5,2,8,8,5,1,3,7,2,5,5,4,4,4,7,7,1,2,71,1,1,"general|now","Q41|full","Q55|Q69|Q61|Q73|Q67|Q65|Q59|Q63|Q71|Q75|Q57","Q77|Q85|Q87|Q79|Q93|Q91|Q95|Q81|Q97|Q89|Q83","33.332305908203","-87.474098205566","-1",2,5.2,4.4
"R_PwJ03H9T8x7CuSB","Default Response Set","Anonymous","","","73.67.229.138","0",2017-09-06 12:47:10,2017-09-06 12:49:49,1,"807148",1,1,1,NA,1,7,7,7,7,7,4,4,4,6,7,1,6,6,6,7,6,4,5,4,6,7,1,1,31,1,1,"general|now","Q41|hungry","Q55|Q71|Q73|Q59|Q57|Q75|Q63|Q65|Q61|Q69|Q67","Q77|Q95|Q83|Q93|Q81|Q89|Q79|Q91|Q87|Q85|Q97","45.602294921875","-122.51670074463","-1",1,7,6.2
"R_2f9T0FsnQ0lQBqP","Default Response Set","Anonymous","","","73.214.178.202","0",2017-09-06 12:57:21,2017-09-06 13:01:45,1,"889332",1,1,NA,1,1,9,9,1,4,3,5,9,1,1,9,1,9,6,3,5,4,6,8,9,3,9,1,2,34,1,1,"now|general","Q41|full","Q55|Q57|Q61|Q73|Q67|Q75|Q65|Q71|Q59|Q63|Q69","Q77|Q89|Q79|Q91|Q95|Q93|Q81|Q83|Q85|Q97|Q87","40.151504516602","-80.706802368164","-1",2,5.2,5.4
"R_1j9ZyAqHpN4gKIE","Default Response Set","Anonymous","","","74.130.98.253","0",2017-09-06 13:04:29,2017-09-06 13:06:29,1,"944948",1,1,1,NA,1,7,7,7,8,7,5,5,5,5,5,1,5,5,5,5,5,5,4,5,5,5,1,1,46,1,1,"now|general","Q41|hungry","Q55|Q67|Q71|Q59|Q57|Q63|Q69|Q61|Q73|Q75|Q65","Q77|Q89|Q87|Q81|Q91|Q83|Q95|Q85|Q97|Q79|Q93","36.635498046875","-88.282997131348","-1",1,7.2,5
"R_1LbqfSrWRMbavmt","Default Response Set","Anonymous","","","75.100.189.50","0",2017-09-06 13:14:03,2017-09-06 13:15:27,1,"789763",1,1,1,NA,1,9,9,9,1,1,1,1,9,9,1,1,9,9,9,1,1,1,1,9,9,1,1,1,26,1,1,"general|now","Q41|hungry","Q55|Q67|Q59|Q71|Q63|Q57|Q75|Q73|Q69|Q61|Q65","Q77|Q93|Q81|Q95|Q85|Q97|Q87|Q79|Q89|Q83|Q91","42.841201782227","-90.711196899414","-1",1,5.8,5.8
