"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Q42","Q43","Q13","Q86","Q129_1","Q129_2","Q129_3","Q129_4","NP_H_1","NP_C_2","Q40","Q41","Q49","Q71","Q56","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","Q38","Q42.0","Q44","Q46","Q48","Q50","Q2","Q3","Q4","Q79","Q6","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q36","Q38.0","Q35","LocationLatitude","LocationLongitude","LocationAccuracy","A4_rev","A6_rev","A10_rev","warm_pref","condition","single_pix"
"R_2miOrhm5n72Jdkx","Default Response Set","Anonymous","","","128.135.213.34","0",2015-01-30 14:32:27,2015-01-30 14:38:29,1,50,"28",1,1,0,0,30.017,0,1,NA,NA,NA,6,"I imagine that it would be very dry and hot and that I could feel the cracks in the eroded dirt underneath my feet.  I imagined being alone in this deserted area and that I was comfortably warm.",1,1,7,1,2,7,9,9,4,2,8,1,8,6,6,8,3,1,2,18,75,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",8,1,2,3.2,1,1
"R_9RXRyROP7FyY4QZ","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 14:34:02,2015-01-30 14:40:09,1,49,"28",1,1,0,0,30.013,0,1,NA,NA,NA,7,"I would probably be dehydrated and extremely hot. There seems to be no help for miles, so at this point I would on the verge of losing hope of reaching my destination.",1,1,1,1,9,1,1,9,9,1,1,1,7,6,7,7,6,1,1,19,73,2,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",1,9,9,5.8,1,1
"R_37qFXMutR4APFIh","Default Response Set","Anonymous","","","128.135.213.34","0",2015-01-30 15:09:37,2015-01-30 15:14:19,1,51,"28",1,1,0,0,30.016,0,NA,NA,1,NA,7,"It would be quite hot and uncomfortable. In fact, the experience would likely be fatal. In general, not a situation I want to be in.",1,1,8,1,2,1,7,2,2,8,4,1,7,7,3,6,8,1,1,19,75,1,NA,1,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",8,3,6,4,1,2
"R_6lF0jF7wIE7YKwZ","Default Response Set","Anonymous","","","128.135.213.41","0",2015-01-30 15:09:56,2015-01-30 15:15:29,1,52,"28",1,1,0,0,30.013,0,NA,1,NA,NA,6,"It would be cold, I'd probably be able to see my breath. I figured that if I were to touch the snow or the ground my hands would be wet. I probably be on my way to or from something",1,3,9,9,1,8,4,7,3,1,1,1,5,4,1,2,8,1,2,18,70,1,1,NA,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,6,9,7.2,2,3
"R_daJYrZzXtnM2ZuZ","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 15:17:08,2015-01-30 15:23:37,1,53,"28",1,1,14.564,15.47,30.012,2,NA,NA,NA,1,6,"I would be wearing several layers of clothing, including a big fur jacket. I would walk through the space shown and see a polar bear on the other side. I would have some sort of gun, perhaps an AK-47 so that I could kill all the wild animals of the Arctic Then, I would go to my cabin, make a fire, and eat s'mores.",1,6,1,9,7,1,1,1,1,1,1,1,5,5,1,7,3,1,1,20,71,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",3,9,9,6.2,2,4
"R_dcyndsGoBRYbrEx","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 15:32:11,2015-01-30 15:38:11,1,55,"28",1,1,0,0,30.006,0,NA,NA,1,NA,7,"I would be very hot, probably sweating. It would be dark, but the light coming from the magma would hurt my eyes. I would be able to feel the heat coming from the magma and I would probably be a little afraid. Why am I even there in the first place? It wold not be an enjoyable experience.",1,8,4,7,8,8,6,2,2,3,2,1,6,6,7,3,6,1,2,19,76,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",2,4,8,4.6,1,2
"R_af6redmg1FMaV2l","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 16:06:02,2015-01-30 16:10:50,1,56,"28",1,1,0,0,30.035,0,1,NA,NA,NA,9,"It's not hot, as the sun is setting, but the wind is strong.  Dust is constantly in my eyes.  I look around and see nothing but barren desert.  The grass is all dry.  The ground is turned to dust.  It is a lonely place",1,3,1,1,1,9,1,1,1,1,1,1,4,9,9,7,3,1,1,19,73,1,NA,1,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,9,9,5.8,1,1
"R_3JFDNdHfyixldRj","Default Response Set","Anonymous","","","128.135.213.79","0",2015-01-30 16:12:57,2015-01-30 16:16:57,1,57,"27",1,1,0,0,29.99,0,1,NA,NA,NA,6,"I imagined I would be very sad because it seems like there used to be something there at one point but it's gone",1,1,4,9,1,9,1,6,1,1,2,1,5,8,2,6,4,1,2,18,72,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,9,8,7.2,1,1
"R_5cnIcwfQ2EUQlaB","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 16:25:12,2015-01-30 16:31:02,1,59,"27",1,1,0,0,30.003,0,NA,NA,1,NA,8,"It would be both terrifying and intriguing. I can imagine that it would be very hot, and that I'd be scared to see the lava rise. In the moment, I would be stunned, or exhilarated.",1,1,8,4,7,7,7,3,NA,8,1,1,8,7,8,7,7,1,2,19,72,2,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",3,3,9,4.75,1,2
"R_3K7orKkLOMQQiTb","Default Response Set","Anonymous","","","128.135.213.81","0",2015-01-30 16:56:38,2015-01-30 17:00:12,1,60,"26",1,1,0,0,30.034,0,NA,NA,NA,1,7,"A sense of wonder and appreciation of nature, respect of the Earth",1,3,4,5,4,3,7,7,3,2,4,1,6,6,6,7,5,1,1,18,70,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",6,3,6,4.6,2,4
"R_40ythCe1cRv3m4Z","Default Response Set","Anonymous","","","128.135.213.81","0",2015-01-30 17:03:41,2015-01-30 17:11:56,1,61,"26",1,1,0,0,30.003,0,NA,1,NA,NA,8,"I imagined that I was walking toward the bridge and then stopped in the middle of it. I leaned against the railing on the left side overlooking the stream. There were chunks of ice on the stream but in general it was still flowing. I looked around at all he trees and the snow clinging to even the tiniest branches. I'm wearing my grey parka and grey beanie and my half-finger gloves. I can see my breath in the air. After looking out over everything for a few minutes I continue down the path across the bridg with my hands in my pockets taking in everything I see.",1,3,8,7,5,4,3,8,5,5,2,1,4,3,6,4,5,1,2,23,68,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",5,7,8,6.4,2,3
"R_e2uPXdOkV9raBpz","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 17:11:14,2015-01-30 17:14:29,1,62,"26",1,1,0,0,30.043,0,NA,NA,1,NA,6,"I was very scared as I was imaging myself near a volcano of lava. It was a deathly experience of feeling.",1,3,3,3,8,3,3,3,3,5,3,1,6,6,6,6,6,1,1,18,72,2,NA,1,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",2,7,7,4.4,1,2
"R_0IBlEonkBp1iFx3","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 17:19:18,2015-01-30 17:24:13,1,63,"26",1,1,0,0,30.014,0,NA,1,NA,NA,7,"I imagined that I would be cold even though I was dressed in lots of layers. It was very quiet as there were no animals around because it was so cold. It felt very tranquil and I was appreciative for mother nature. I was also grateful that the path was shveled so my socks would not get wet! I was cautious in case the path was slippery. I could see my breath. I also was reminded how amazing all four seasons truly are and how beautiful winter can be despite the cold.",1,2,8,9,3,1,1,1,8,1,1,1,7,8,8,8,3,1,2,27,70,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,9,9,8.4,2,3
"R_0wDeQ2rteNrGB1P","Default Response Set","Anonymous","","","128.135.213.57","0",2015-01-30 17:33:41,2015-01-30 17:39:21,1,64,"26",1,1,0,0,30.016,0,NA,NA,NA,1,6,"Extraordinarily cold; austerely beautiful; lonely; sapping-of-energy (i.e. I would be tired from carrying supplies/trudging through snow or else paddling some sort of watercraft)",1,3,7,5,4,7,4,4,2,3,4,1,5,6,7,3,7,1,2,18,75,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",6,6,6,5,2,4
"R_7OJw6p2JB6ESkK1","Default Response Set","Anonymous","","","128.135.213.42","0",2015-02-02 13:39:32,2015-02-02 13:43:56,1,66,"22",1,1,0,0,30.048,0,1,NA,NA,NA,7,"I would feel in awe at the alien landscape in front of me. Maybe a bit hot and uncomfortable but mostly amazed at this entirely new place. I would feel the ground crunch underneath my feet, and feel the sun's rays falling on me.",1,3,6,1,4,9,3,1,5,6,2,1,5,7,2,7,5,1,1,18,69,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",6,7,8,5.4,1,1
"R_0ePrgxQnDBYWTIN","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-02 14:26:20,2015-02-02 14:30:45,1,65,"23",1,1,0,0,30.01,0,NA,1,NA,NA,6,"i imagined walking across the bridge, hearing my footsteps crunching the snow. and i imagined myself brushing some of the snow of the railing.",1,1,5,4,1,8,1,3,1,5,1,1,6,2,7,2,7,1,1,19,60,1,1,NA,NA,NA,1,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,9,9,6.4,2,3
"R_6gjVVHdpXe5ZHUx","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-02 14:42:08,2015-02-02 14:46:33,1,67,"23",1,1,0,0,30.037,0,1,NA,NA,NA,6,"I would feel the sun beating down on my face, i would feel extremely thirsty, I would feel very lost, and very alone. Also scared of potential wildlife.",1,9,3,1,5,5,7,8,5,9,5,1,6,7,1,3,7,1,2,20,68,1,NA,NA,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",5,3,5,3.8,1,1
"R_0OmSXpFapzGpVM9","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-02 14:45:59,2015-02-02 14:49:02,1,68,"23",1,1,0,0,30.009,0,NA,NA,1,NA,1,"Hot!",1,1,9,9,1,1,1,9,8,1,1,1,3,1,6,5,5,1,2,20,72,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,9,9,8.8,1,2
"R_brRjKzZ5m3jjRC5","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-02 14:57:07,2015-02-02 15:02:30,1,69,"22",1,1,0,0,30.003,0,NA,NA,NA,1,8,"I imagined that I would frozen solid if I weren't wearing appropriate clothing and protective gear. Literally, a block of solid ice, just like those characters in cartoons. I would be shaking from the cold, teeth chattering, literally freezing second by scond. Then I wondered why I would even be in a place like that. Then I stopped imagining that I'd be there.",1,1,5,1,9,1,5,9,1,5,4,1,5,6,8,8,3,1,2,20,70,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",1,5,6,2.8,2,4
"R_5ceN30edlLvIerj","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-02 15:00:28,2015-02-02 15:05:30,1,70,"22",1,1,0,0,30.003,0,NA,1,NA,NA,7,"The photo depicted a cold and mysterious environment which seemed moderately creepy, but also enticing because of the bridge and the lack of clarity as to what existed on the other side in the forest.",1,7,2,7,2,9,2,9,8,2,1,1,3,6,2,4,6,1,2,18,70,1,NA,NA,1,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",8,8,9,8,2,3
"R_eRjSn9j4phh5FDD","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-02 15:09:32,2015-02-02 15:13:57,1,71,"22",1,1,0,0,30.007,0,NA,NA,NA,1,7,"I imagined being cold, wet, and stranded in the environment of this photo.",1,1,9,9,9,1,1,9,9,1,1,1,7,6,9,2,9,1,1,19,70,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",1,9,9,7.4,2,4
"R_ehZ3VL3QBraFgAl","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-02 15:15:52,2015-02-02 15:19:03,1,72,"22",1,1,0,0,30.004,0,NA,NA,1,NA,2,"it would be hot",1,8,2,1,8,8,2,2,2,7,2,1,5,2,2,5,5,1,2,22,68,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",2,8,8,4.2,1,2
"R_7URMjLiTkdUJq3H","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-02 15:19:34,2015-02-02 15:22:52,1,73,"22",1,1,0,0,30.013,0,1,NA,NA,NA,6,"hot, no water. Very sad and lonely. Boring. no life other than yourself.",1,1,9,8,1,2,3,2,8,1,1,1,7,5,2,9,4,1,2,19,75,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,7,9,8.2,1,1
"R_0etphtRpjJ8cgGp","Default Response Set","Anonymous","","","128.135.213.42","0",2015-02-02 15:22:07,2015-02-02 15:27:35,1,74,"22",1,1,0,0,30.014,0,NA,NA,NA,1,6,"Cold and windy with perhaps some water spray in the air from the waves, a bright sun, and beautiful ice all around",1,5,4,7,1,4,1,5,1,4,1,1,2,4,5,8,7,1,2,21,68,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,9,9,7,2,4
"R_diNgzikJVxrVOsJ","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-02 15:24:31,2015-02-02 15:29:32,1,75,"22",1,1,0,0,30.002,0,NA,1,NA,NA,7,"The weather is cold but not freezing. The wind is still and the sky is overcast. There is minimal noise and is quite peaceful. I'm wearing layers of clothes but my face feels the chill.",1,7,3,3,3,7,2,3,6,4,NA,1,6,6,5,6,5,1,1,19,70,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,8,NA,6,2,3
"R_25GlNJ1ps3PjHEN","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-02 15:50:44,2015-02-02 15:55:22,1,76,"21",1,1,24.781,24.781,30.006,1,NA,NA,1,NA,7,"I imagined it would be very, very hot, and the lava would be bubbling up. The rocks would be really tough to walk around, and I'd probably be scared.",1,8,3,9,1,9,1,7,5,1,1,1,5,7,8,7,5,1,2,18,68,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,9,9,8.2,1,2
"R_4ZmRPkshJXDKOJT","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-02 16:20:41,2015-02-02 16:25:18,1,77,"20",1,1,0,0,30.004,0,1,NA,NA,NA,6,"I imagine it would be very stressful, as there appeared to be no source of water nearby, and the desert stretched for miles in every direction.",1,2,8,3,8,8,8,8,8,2,2,1,7,6,5,7,3,1,2,19,70,1,1,NA,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",2,2,8,4.6,1,1
"R_0Nb4Q8AL6iUhYUd","Default Response Set","Anonymous","","","128.135.213.58","0",2015-01-30 15:22:23,2015-01-30 15:52:07,0,54,"28",1,1,0,0,30.012,0,NA,NA,NA,1,7,"It would be very cold, but tranquil. Only sounds would be of the water and the ice moving in it.",1,3,4,3,4,5,4,6,3,4,6,1,7,5,3,3,6,1,1,18,70,1,NA,NA,1,NA,NA,NA,2,NA,NA,"","","-1",6,6,4,4.4,2,4
"R_5jcQgtmv1Uf1QUZ","Default Response Set","Anonymous","","","128.135.213.76","0",2015-01-30 16:09:31,2015-01-30 16:36:27,0,57,"28",NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,"Cold, quiet, soft",1,2,9,2,7,9,2,2,1,1,1,1,2,9,1,7,5,1,1,21,68,1,NA,1,NA,NA,NA,NA,1,1,NA,"","","-1",3,8,9,4.6,2,3
"R_dhtctkPQSuuXJ7n","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-05 13:39:50,2015-02-05 13:43:44,1,78,"19",1,1,0,0,30.007,0,NA,NA,NA,1,5,"I imagined I was a polar bear! And swimming in the icy water.",1,5,2,3,1,9,1,7,7,1,1,1,5,7,8,7,2,1,2,20,70,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,9,9,7.4,2,4
"R_eLMwWSyJD4jZj3T","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-05 14:17:12,2015-02-05 14:23:03,1,79,"20",1,1,0,0,30.004,0,NA,NA,1,NA,6,"I imagined that it would be intensely hot.  I also imagined that the ground under my feet would probably feel sharp and bumpy and that I would be cautious to  move not only because of the obvious danger but because of this fact.  There was some difficulty though, in trying to imagine what was obviously a dynamic scene based of of only one snapshot.",1,6,4,8,3,7,1,6,4,6,3,1,6,3,5,3,6,1,1,21,70,1,NA,NA,1,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,9,7,7,1,2
"R_1S7sNEo8c81vHDf","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-05 14:31:39,2015-02-05 14:35:15,1,80,"20",1,1,NA,NA,NA,NA,NA,1,NA,NA,6,"I imagined a scene from the Twilight Series by Stephenie Meyer where the two characters are standing there.",1,9,9,9,1,9,5,5,1,1,1,1,6,5,7,9,1,1,2,20,70,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,5,9,6.6,2,3
"R_cAv12ZFXdH6IFtX","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-05 15:26:07,2015-02-05 15:32:36,1,81,"20",1,1,0,0,30.002,0,1,NA,NA,NA,5,"I imagined that I would be alone, wandering around. It would be very hot. I depicted myself sweating. When I looked down at what I was wearing, I imagined I had a canteen attached to my belt and I was wearing a green vest and khaki cargo shorts. I looked own at the bones around me and picked one up. I imagined that it was not very bright and the time was probably around evening.",1,1,8,7,2,6,2,9,7,2,1,1,8,7,7,5,6,1,1,21,70,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",8,8,9,7.8,1,1
"R_6mc1zzgva2ITld3","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-05 15:26:22,2015-02-05 15:33:04,1,82,"20",1,1,0,0,30.011,0,NA,NA,1,NA,4,"I imagined myself on the edge the cliff overlooking the pit of lava.  There was a slight scent of sulfur. I felt afraid of going too close to the edge of the cliff.",1,4,6,5,3,4,3,4,6,7,3,1,6,7,5,7,5,1,1,19,73,2,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,7,7,6.4,1,2
"R_cI9cpGujk9rehXn","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-05 16:36:25,2015-02-05 16:45:52,1,83,"19",1,1,0,0,30.004,0,NA,NA,NA,1,6,"It would be very cold, and I would hear the ice falling down in sheets. If I touched the snow/ice, it would be soft",1,3,1,9,2,1,2,8,1,5,1,1,4,6,7,4,4,1,2,18,70,1,NA,1,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",8,8,9,7,2,4
"R_8l9wWuQnlzr4fl3","Default Response Set","Anonymous","","","128.135.213.59","0",2015-02-05 16:39:48,2015-02-05 16:45:53,1,84,"19",1,1,0,0,30.001,0,1,NA,NA,NA,6,"There would be wind, the ground would be cracking as I walk. It would be hot and dusty, and I would cough. I would feel alone in this environment, and I would walk towards the hill in the background. I would be alert.",1,8,9,1,3,4,1,9,4,3,3,1,4,6,5,6,5,1,1,19,68,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,9,7,5.6,1,1
"R_6zM2PetDaXZIHzf","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-05 16:54:04,2015-02-05 17:00:35,1,85,"17",1,1,0,0,30.003,0,NA,1,NA,NA,9,"It would be cold, but not too cold, and we would be moving.  My dog would be just out of sight around the corner, and I would probably call to him in a second.  It would be completely beautiful, and very quiet, except for the sound of the water.  We'd proably be walking back to make it out of the woods before the sun went down.  I might stop and smoke a cigarette on the bridge, without taking my gloves off, and just listen to the sound of the water for a minute.",1,1,1,9,1,3,3,9,4,1,2,1,3,8,6,7,9,1,2,23,65,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,7,8,7.4,2,3
"R_54nCFGJTvuEp1gF","Default Response Set","Anonymous","","","128.135.213.62","0",2015-02-05 17:33:17,2015-02-05 17:40:16,1,86,"15",1,1,0,0,30.007,0,NA,NA,NA,1,7,"I was floating along on a sheet of ice, curled up so that the freezing water wasn't touching me. I looked up and I saw the sun; it was blinding against the white snow and ice. I had to squint and raise my hand to see my surroundings. The current brought m over to the iceberg, which I reached out to touch with my right hand. It was softer than I thought it would be because it was covered in a layer of snow.",1,9,1,8,3,1,9,5,1,3,4,1,3,7,6,7,3,1,2,21,68,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,1,6,4.6,2,4
"R_etCERUNzPXgWyQl","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-06 12:23:50,2015-02-06 12:30:13,1,87,"28",1,1,0,0,30.007,0,1,NA,NA,NA,7,"If would be physically demanding. I would need to find food, water and shelter.",1,1,1,9,3,9,9,2,3,1,5,1,7,7,4,1,9,1,1,33,70,1,1,NA,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",7,1,5,5,1,1
"R_2tcG2GHprMhCfZz","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-06 12:40:04,2015-02-06 12:45:00,1,88,"28",1,1,0,0,30.007,0,NA,1,NA,NA,6," I would be trudging through the snow in my boots and I imagined that it would be very cold.",1,9,9,7,6,9,4,7,5,9,2,1,4,3,6,6,5,1,2,18,70,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",4,6,8,6,2,3
"R_9MIDpdbd9Ahzgwd","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-06 13:21:30,2015-02-06 13:26:49,1,89,"28",1,1,0,0,30.004,0,NA,NA,1,NA,9,"I could imagine myself feeling very hot and very excited, perhaps scared or anxious too.",1,9,9,9,8,9,1,1,1,9,2,1,5,7,3,6,5,1,1,20,72,2,NA,NA,NA,NA,1,NA,1,1,1,"41.780395507812","-87.602699279785","-1",2,9,8,5.8,1,2
"R_9SLd22jN78vAaJD","Default Response Set","Anonymous","","","128.135.213.79","0",2015-02-06 13:24:16,2015-02-06 13:40:18,1,90,"29",1,1,0,0,29.988,0,NA,NA,NA,1,7,"Really cold. I imagined myself trying really hard to not be touching the water, so I was basically standing on that one smaller piece of ice.",1,2,3,1,1,9,1,9,1,1,1,1,4,9,8,7,4,1,2,20,65,1,NA,NA,NA,NA,1,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",9,9,9,5.8,2,4
"R_dcBSezfS6tDcb8V","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-06 13:43:38,2015-02-06 13:47:39,1,91,"30",1,1,0.196,0.884,30.006,2,NA,NA,1,NA,5,"I felt as if it would be incredibly anxious and uncomfortable.  The heat would be overpowering, and the darkness and lack of apparent exit would make me nervous and claustrophobic.",1,3,4,2,6,4,6,2,1,4,5,1,6,9,4,6,7,1,1,19,65,1,NA,NA,NA,1,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",4,4,5,3.2,1,2
"R_a8Zl0jegiVSOMKN","Default Response Set","Anonymous","","","128.135.213.72","0",2015-02-06 13:51:15,2015-02-06 13:54:52,1,92,"30",1,1,16.555,16.555,30.003,1,NA,1,NA,NA,6,"It felt very serene, cold, magical. I imagined it to be completely silent and perhaps I was in a remote area away from any city.",1,2,1,2,9,9,1,8,2,1,1,1,5,6,3,7,3,1,2,19,70,2,NA,1,NA,NA,NA,NA,2,NA,1,"41.780395507812","-87.602699279785","-1",1,9,9,4.6,2,3
"R_9miQv2rUnJOeUPX","Default Response Set","Anonymous","","","128.135.213.47","0",2015-02-06 14:02:45,2015-02-06 14:08:21,1,95,"30",1,1,NA,NA,NA,NA,1,NA,NA,NA,5,"I was immersed in the environment, I found it very easy to imagine myself being there.",1,1,5,5,2,1,4,9,8,3,1,1,4,3,6,7,4,1,1,19,60,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",8,6,9,7.2,1,1
"R_71cvT36YY0HcIlL","Default Response Set","Anonymous","","","128.135.213.43","0",2015-02-06 14:02:41,2015-02-06 14:08:33,1,96,"30",1,1,0,0,30.006,0,NA,1,NA,NA,6,"It would be peaceful and relaxing, and probably a little bit chilly.",1,9,4,8,2,9,5,9,1,1,4,1,7,7,7,7,5,1,2,18,70,1,NA,NA,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",8,5,6,5.6,2,3
"R_5tDlaKfqfvAFsJn","Default Response Set","Anonymous","","","128.135.213.42","0",2015-02-06 14:02:49,2015-02-06 14:08:34,1,94,"30",1,1,24.275,24.275,30.001,1,NA,NA,1,NA,6,"It would be a sweltering and painful experience; I would be the midst of the lava and nature being powerful and terrifying. I would probably die, but I imagined the whole thing to be somewhat like Lord Of The Rings.",1,7,1,1,5,8,7,5,1,2,4,1,6,6,4,7,4,1,2,19,62,1,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",5,3,6,3.2,1,2
"R_6DLBOHRFejtR8qh","Default Response Set","Anonymous","","","128.135.213.42","0",2015-02-06 14:09:46,2015-02-06 14:15:05,1,97,"30",1,1,0,0,30.007,0,1,NA,NA,NA,7,"It would be extremely hot and dry. I would imagine the wind blowing past me. I would most likely be searching for water, because of the arid desert atmosphere. The sun would be glaring down on me as it bakes the ground.",1,3,8,2,7,3,8,9,2,3,6,1,6,7,3,7,6,1,1,19,75,1,NA,1,NA,1,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",3,2,4,2.6,1,1
"R_06guibZDSR8CwkZ","Default Response Set","Anonymous","","","128.135.213.43","0",2015-02-06 14:10:02,2015-02-06 14:15:34,1,98,"30",1,1,0,0,30.012,0,NA,NA,NA,1,5,"I was on a tour boat. There was a cool breeze and only the sound of the water crashing up against the boat. I was dressed in heavy winter attire, yet the sun was shinning high and keeping me warm.",1,8,3,3,8,3,8,3,8,8,9,1,7,8,3,3,8,1,2,18,75,1,1,NA,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",2,2,1,3.2,2,4
"R_0CjUH3eKtAPyCbz","Default Response Set","Anonymous","","","128.135.213.43","0",2015-02-06 14:16:20,2015-02-06 14:20:28,1,101,"30",1,1,0,0,30.01,0,NA,NA,NA,1,7,"It would be cold and freezing. I can imagine myself in awe at the ice hill thing, but also being terrified that we might hit it. I would be excited because it's so blue and beautiful there. Mainly I feel like I would be really cold though.",1,9,1,1,1,9,1,1,2,2,1,1,5,7,7,6,5,1,2,19,70,2,NA,1,NA,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",9,9,9,6,2,4
"R_egs1BoTyM73oFRX","Default Response Set","Anonymous","","","128.135.213.42","0",2015-02-06 14:16:01,2015-02-06 14:22:00,1,99,"30",1,1,0,0,30.002,0,NA,1,NA,NA,7,"I would feel cold, but would be in awe and would appreciate my surroundings and the environment's beauty. In some ways I would be isolated, but I wouldn't feel negatively about it. I would be comfortable exploring my surroundings, while remaining on the pth. I would be listening to the water, trying to see if I could hear it move, despite it being freezing. I would also look for animals moving around, if any.",1,3,8,9,2,8,1,8,8,2,1,1,4,9,3,7,3,1,2,18,70,1,NA,NA,1,NA,NA,NA,1,1,1,"41.780395507812","-87.602699279785","-1",8,9,9,8.6,2,3
